 124406.01	0.00	soa
 124440.40	0.82	whp foc
 124443.89	1.33	whp foc
 124447.57	1.36	whp foc
 124451.15	1.30	whp foc
 124454.68	1.43	whp foc
 124458.45	1.52	whp foc
 124462.23	1.50	whp foc
 124465.94	1.44	whp foc
 124469.52	1.54	whp foc
 124473.16	1.74	whp foc
 124476.97	2.18	whp foc
 124730.96	1.24	whp non
 124734.22	1.14	whp non
 124736.97	1.32	whp non
 124739.88	1.31	whp non
 124743.07	1.52	whp non
 124746.34	1.56	whp non
 124749.76	1.79	whp non
 124753.23	1.78	whp non
 124756.69	2.07	whp non
 124826.02	0.00	eoa
