 46549.00	0.00	soa
 46549.34	0.26	unk
 46550.25	0.15	unk
 46551.11	0.21	unk
 46551.99	0.23	unk
 46552.81	0.18	unk
 46553.81	0.26	unk
 46554.81	0.19	unk
 46561.41	1.76	whp non
 46564.68	0.49	whp non
 46567.97	1.71	whp non
 46571.55	1.95	whp non
 46575.23	0.95	whp non
 46579.05	1.29	whp non
 46582.67	1.70	whp non
 46586.81	1.32	whp non
 46589.67	0.60	whp foc
 46591.61	0.33	whp non
 46592.19	1.17	whp foc
 46595.76	2.41	whp foc
 46601.01	2.66	whp foc
 46606.45	2.73	whp foc
 46609.00	0.00	eoa
