 118428.20	0.00	soa
 118491.70	0.98	whp foc
 118495.85	1.04	whp foc
 118500.41	1.11	whp foc
 118504.95	1.34	whp foc
 118509.98	1.49	whp foc
 118515.05	1.63	whp foc
 118520.09	1.94	whp foc
 118632.08	1.60	whp non
 118637.06	1.18	whp non
 118641.03	1.75	whp non
 118646.43	0.98	whp non
 118654.78	1.14	whp non
 118659.24	1.30	whp non
 118663.92	1.25	whp non
 118668.78	1.27	whp non
 118675.40	0.62	unk
 118679.49	1.49	whp non
 118683.80	1.65	whp non
 118687.69	0.79	whp non
 118688.64	1.34	whp non
 118693.00	1.76	whp unf
 118697.97	2.62	grn non
 118789.66	0.00	eoa
