127549.00	0.00	soa
 127549.20	1.29	rum non
 127551.43	1.34	rum non
 127554.08	2.02	whp non
 127556.92	1.21	rum non
 127559.10	0.98	rum non
 127560.20	1.90	whp non
 127566.41	1.58	whp non
 127568.01	0.71	whp non
 127571.53	1.42	whp non
 127575.93	1.72	whp non
 127580.38	1.82	whp non
 127585.28	2.10	whp non
 127800.85	0.87	whp non
 127804.07	1.80	whp non
 127808.81	1.69	whp non
 127813.91	1.24	whp non
 127818.09	1.59	whp non
 127822.60	1.74	whp non
 127827.09	1.88	whp non
 127831.82	1.82	whp non
 127836.73	1.96	whp non
 127841.24	1.50	whp non
 127845.02	1.73	whp non
 127849.01	1.85	whp non
 127853.98	1.35	whp non
 127858.09	1.12	whp non
 127861.82	1.20	whp non
 127865.69	1.36	whp non
 127869.92	1.60	whp non
 127873.74	1.81	whp non
 127877.97	1.34	whp non
 127882.11	1.42	whp non
 127914.15	1.48	rum non
 127940.96	0.99	rum non
 127946.77	1.25	rum non
 127949.30	0.91	whp non
 127952.11	1.36	rum non
 127954.41	1.86	whp non
 127959.74	1.94	whp non
 127963.46	0.70	whp non
 127964.76	2.01	whp non
 127966.56	1.74	whp non
 127970.10	2.72	whp non
 127970.94	0.55	oth foc
 127974.48	2.02	whp non
 127974.50	1.90	rum foc
 127976.35	2.84	whp non
 127979.40	1.80	whp non
 127979.60	1.34	whp non
 127979.66	1.29	rum foc
 127983.72	2.06	whp non
 127983.85	1.58	rum foc
 127988.18	1.82	whp non
 127988.18	1.82	rum foc
 127992.28	1.95	whp non
 127993.56	1.49	rum foc
 127996.46	1.92	whp non
 128059.63	2.04	gig foc 
 128127.62	0.39	gig non
 128128.96	0.45	gig non
 128130.82	0.53	gig non
 128181.03	2.67	rum non
 128185.05	1.53	rum non
 128188.01	2.00	rum non
 128191.61	1.78	rum non
 128198.49	1.08	grn non
 128211.20	0.51	whp non
 128214.92	2.25	whp non
 128220.13	2.28	whp non
 128225.28	2.34	whp non
 128230.39	3.09	fus[whp+grn] non
 128246.29	1.32	grn non
 128257.03	0.59	grn non
 128269.02	0.00	eoa 
