 124401.66	0.00	SOA
 124407.30	1.33	str cub non ?
 124407.55	3.18	grn foc
 124412.87	1.14	gig non ?
 124419.18	1.32	grn foc
 124422.19	1.05	grn foc
 124426.36	1.41	grn foc
 124428.07	1.29	grn foc
 124431.44	1.13	whp non
 124432.82	1.46	whp non
 124434.42	1.24	whp non
 124435.87	1.10	whp non
 124436.06	1.05	grn foc
 124438.41	1.40	grn foc
 124439.74	1.56	whp non
 124440.56	1.13	grn foc
 124442.69	1.84	whp non
 124443.78	1.46	whp non
 124445.20	1.54	whp non
 124448.39	1.58	whp non
 124456.38	1.28	grn non ?
 124457.73	1.20	whp non?
 124460.74	0.74	grn non ?
 124470.90	1.48	grn non?
 124471.82	0.85	grn non?
 124487.89	0.82	grn non
 124501.02	1.60	grn ? non
 124559.60	0.94	grn foc
 124570.00	1.24	grn foc
 124575.03	1.52	grn foc
 124594.26	1.73	grn foc
 124641.89	0.00	EOA
