 121821.99	0.00	SOA
 121966.03	1.28	whp foc
 121970.13	1.41	whp foc
 121974.51	1.37	whp foc
 121979.24	1.44	whp foc
 121983.93	1.57	whp foc
 121985.56	0.22	oth foc
 121988.81	1.65	whp foc
 121993.61	1.65	whp foc
 121998.61	1.60	whp foc
 122023.04	0.69	grn non
 122039.09	1.54	whp foc
 122096.21	1.33	grn foc
 122103.00	0.83	grn foc
 122121.10	1.63	grn foc
 122125.00	0.89	grn foc
 122127.14	0.71	whp foc
 122129.99	1.26	whp foc
 122133.96	1.32	whp foc
 122138.04	1.53	whp foc
 122142.73	1.38	whp foc
 122147.88	1.46	whp foc
 122152.29	1.40	whp foc
 122157.37	1.54	whp foc
 122161.56	1.36	whp foc
 122165.68	1.49	whp foc
 122170.21	1.45	whp foc
 122174.53	1.44	whp foc
 122191.73	1.25	whp ? foc
 122227.92	5.03	fix: grn instead of whp?
 122228.44	1.29	whp foc
 122231.20	1.26	whp foc
 122259.26	5.39	fix: grn instead of whp?
 122259.76	1.28	whp foc
 122262.90	1.02	whp foc
 122360.41	1.12	grn foc
 122365.49	1.09	grn foc
 122368.45	0.76	fix: whp foc
 122368.48	0.74	grm foc
 122371.02	0.77	whp foc
 122374.33	1.24	whp foc
 122378.21	1.42	whp foc
 122382.17	1.36	whp foc
 122386.31	1.57	whp foc
 122391.18	1.41	whp foc
 122395.75	1.50	whp foc
 122400.21	1.41	whp foc
 122404.56	1.52	whp foc
 122408.66	1.47	whp foc
 122413.54	1.56	whp foc
 122417.67	1.57	whp foc
 122424.57	1.18	grn foc
 122441.63	1.42	grn foc
 122444.29	1.34	grn foc
 122447.20	1.28	grn foc
 122466.49	1.26	grn foc
 122468.15	3.26	unk non
 122471.71	1.20	grn foc
 122523.62	1.66	fix: grn foc
 122523.67	1.58	whp foc
 122526.39	1.07	whp foc
 122529.99	1.19	whp foc
 122534.03	1.34	whp foc
 122540.26	1.44	whp foc
 122543.99	0.23	unk non
 122544.78	1.55	whp foc
 122551.40	1.48	whp foc
 122555.78	1.53	whp foc
 122558.71	1.45	str cub non
 122560.16	1.62	whp foc
 122561.65	3.41	str ? cub non 
 122565.99	0.30	grn non
 122566.33	1.55	whp non
 122584.02	0.95	grn foc
 122586.43	1.68	grn foc
 122589.89	1.23	grn foc
 122599.24	0.77	oth non
 122605.01	10.87	fix: double check
 122605.10	2.74	sql ? non
 122606.18	0.90	grn ? foc
 122608.02	0.48	grn foc
 122608.67	1.45	skp more than one non sql and/or str ?
 122610.24	0.62	grn foc
 122610.85	1.24	sgl non
 122612.24	1.25	grn foc
 122613.13	2.73	sql foc
 122614.43	1.05	grn foc
 122617.53	0.21	oth unf
 122618.34	2.64	str ? cub non
 122619.07	0.77	grn non
 122622.70	0.37	oth non
 122626.11	0.24	oth non
 122633.42	0.26	oth non
 122634.14	1.93	grn non
 122635.39	0.68	sql ? non
 122636.10	0.27	oth non
 122639.85	0.20	oth non
 122646.46	2.03	grn foc
 122647.79	0.35	oth non
 122648.48	0.22	oth non
 122655.14	1.52	grn non
 122656.47	1.27	oth foc
 122657.82	1.49	grn non
 122658.33	2.18	sql ? non
 122660.54	0.63	grn foc
 122662.19	0.94	grn foc
 122663.21	0.63	grn non
 122668.63	1.94	grn foc
 122671.38	1.06	grn non
 122672.43	0.23	grn foc
 122674.30	0.54	unk non
 122674.73	0.52	grn non
 122684.44	1.12	grn foc
 122686.45	1.29	gig foc
 122703.04	1.23	grn non
 122703.51	0.74	grn foc
 122705.21	1.21	grn foc
 122709.41	1.49	whp foc
 122712.09	0.36	unk unf
 122712.67	1.63	whp foc
 122716.04	1.44	whp foc
 122719.35	1.45	whp foc
 122722.81	1.62	whp foc
 122726.45	1.57	whp foc
 122730.60	1.82	whp ? foc
 122734.86	1.30	whp foc
 122764.12	0.53	grn non
 122765.50	1.12	grn non
 122768.10	0.65	grn ? non
 122769.92	0.45	grn non
 122771.96	0.57	grn unf
 122773.70	0.66	grn unf
 122775.51	0.40	grn unf
 122781.30	1.07	grn non
 122782.36	1.42	grn foc
 122785.39	0.62	grn ? non
 122789.89	3.30	skp there is some groans but hard to hear
 122793.19	3.52	str cub non
 122795.11	0.55	grn non
 122797.32	0.95	whp foc
 122799.16	1.57	grn non
 122799.73	0.85	whp foc
 122802.02	2.15	seq[whp+grn] foc
 122804.43	1.09	whp foc
 122806.73	1.57	seq[whp+grn foc)
 122809.08	1.30	whp non
 122812.19	1.50	whp non
 122813.56	2.05	whp unf
 122814.49	1.76	grn foc
 122815.53	1.35	whp non
 122819.01	2.30	seq[whp+gwl] foc
 122826.16	1.44	whp foc
 122831.07	1.67	whp non
 122835.96	1.74	whp non
 122840.90	1.48	whp non
 122845.84	1.40	whp non
 122845.98	1.12	grn unf
 122853.87	1.64	grn foc
 122856.58	1.85	grn foc
 122860.51	1.29	grn foc
 122862.72	2.75	unk non
 122864.93	1.23	grn foc
 122868.91	1.09	grn foc
 122888.41	2.00	grn foc
 122915.35	2.26	grn foc
 122922.01	0.00	EOA
