 641090.00	0.00	soa
 641615.32	0.55	whp foc
 641618.08	1.67	whp foc
 641622.71	1.84	whp foc
 641627.54	1.49	whp foc
 645830.52	0.23	oth non
 646010.60	0.43	oth non
 646059.60	0.49	oth unf
 647240.13	0.46	grn foc
 647689.95	2.07	gig ? unf
 647691.32	0.33	oth foc
 648314.29	10.79	gig non
 648325.54	5.57	gig ? non
 648337.14	3.24	gig non
 648344.56	2.99	gig non
 648455.06	6.96	gig non
 650408.61	0.22	oth non
 650518.59	0.39	oth non
 654799.51	0.73	oth non
 654804.61	0.26	oth non
 654805.44	0.45	oth non
 655088.27	1.35	grn foc
 655096.15	1.42	grn unf
 655098.89	1.97	grn foc
 655103.05	2.06	grn foc
 655107.29	2.21	grn foc
 655117.47	2.07	grn foc
 655139.82	1.83	grn foc
 655147.55	2.04	grn foc
 655153.39	2.44	grn foc
 655159.78	1.80	grn foc
 655166.59	1.49	grn foc
 655174.22	2.18	grn foc
 655259.42	1.52	gig ? non
 655263.25	0.54	gig ? non
 655276.90	0.25	oth non
 655657.71	0.54	whp non
 655679.77	0.20	oth non
 655823.44	0.23	oth foc
 656763.37	0.85	grn unf
 656779.16	2.48	grn foc
 656783.07	2.06	grn foc
 656788.48	2.15	grn foc
 656796.17	1.15	grn foc
 656814.04	2.16	grn foc
 656820.15	1.80	grn foc
 656826.69	1.11	grn foc
 656832.31	2.68	grn foc
 656846.58	1.92	grn foc
 656856.58	2.25	grn foc
 656863.91	1.53	grn unf
 657003.35	0.96	grn foc
 657071.56	1.63	grn foc
 657075.26	1.59	grn foc
 657082.06	1.95	grn foc
 657093.94	2.68	grn foc
 657099.30	1.99	grn foc
 657129.97	2.04	grn foc
 657134.67	2.33	grn foc
 657140.03	1.70	grn foc
 657151.40	2.41	grn foc
 657156.67	1.70	grn foc
 657162.12	1.76	grn foc
 657165.29	1.68	grn foc
 657655.55	0.34	oth unf
 657665.38	0.26	oth non
 657666.14	0.21	oth non
 657668.37	1.37	oth unf
 657960.18	0.25	oth non
 657999.15	0.29	oth foc
 658237.49	0.23	oth foc
 658262.80	0.44	oth unf
 658323.28	0.26	oth unf
 658543.00	0.23	oth foc
 658545.50	0.77	oth non
 658580.73	3.02	str cub non
 658583.75	5.12	str cub non
 658605.60	1.05	str ? cub non
 658608.97	0.68	oth non
 658611.07	1.42	gig non
 658613.26	3.75	str cub non
 658618.23	0.98	gwl ? non
 658639.71	3.14	str cub non
 658666.35	5.11	str cub non
 658679.20	3.10	gig non
 658682.87	1.43	gig non
 658692.13	0.30	oth non
 658695.23	2.62	str cub non
 658695.67	1.66	grn non
 658698.61	1.38	grn non
 658706.89	5.68	str cub non
 658712.89	5.76	str cub non
 658719.38	0.72	oth non
 658724.60	0.99	gig ? non
 658727.31	2.30	str cub non
 658730.14	1.45	str cub non
 658732.37	0.23	oth non
 658733.47	1.32	gig non
 658745.47	2.16	gig non
 658756.88	5.42	gig non
 658767.03	5.80	gig non
 658768.37	1.19	grn non
 658771.80	0.70	oth non
 658777.38	0.25	oth non
 658779.18	0.39	oth non
 658781.92	0.40	oth non
 658782.33	3.03	str cub non
 658808.48	0.99	gig non
 658824.61	1.28	gig non
 658825.69	1.34	str ? cub non
 658830.14	0.25	oth non
 658970.29	0.67	oth non
 658971.34	0.61	oth non
 659098.52	1.05	grn ? non
 659932.04	0.38	oth non
 659940.38	0.48	oth non
 660057.19	0.93	grn non
 660081.30	0.29	oth non
 660126.81	0.40	oth foc
 660294.59	0.43	oth non
 660345.26	0.79	grn non
 661107.69	0.39	oth non
 661109.47	0.56	oth non
 661110.30	2.78	sql ? non
 661114.09	0.98	sql ? non
 661115.58	2.20	sql ? non
 661131.33	1.14	sql ? non
 661135.98	1.09	sql ? non
 661148.74	4.27	gig non
 661166.58	1.45	sql ? non
 661287.76	0.95	sql ? non
 661968.78	0.63	oth non
 661970.94	0.60	oth non
 662132.38	0.45	oth foc
 662135.21	0.43	oth non
 662158.57	0.77	oth non
 662160.96	0.82	oth non
 662164.28	0.55	grn non
 662169.19	0.99	grn ? foc
 662295.98	0.34	oth foc
 662503.81	0.28	oth non
 662690.01	0.00	eoa
