 1432270.00	0.00	soa
 1432664.58	0.17	oth non
 1432665.16	1.02	gwl ? non
 1432666.91	0.87	grn unf
 1432668.19	0.94	grn unf
 1432669.30	3.54	gwl non
 1432674.90	0.12	oth non
 1432675.11	2.91	prd ?
 1432678.58	0.75	grn non
 1432679.70	0.26	gig non
 1432679.89	0.71	grn non
 1432680.15	0.37	oth non
 1432680.40	0.90	fus [sql + str] cub non
 1432680.77	0.49	rum non
 1432681.77	0.75	gig non
 1432682.73	0.63	gig non
 1432683.38	0.56	grn non
 1432685.37	0.63	unk non
 1432686.50	1.14	whp non
 1432689.04	1.28	grn foc
 1432691.13	1.03	grn foc
 1432692.62	1.23	unk non
 1432693.08	1.60	grn foc
 1432695.49	1.60	grn foc
 1432697.37	1.41	grn foc
 1432704.02	1.52	grn ? foc
 1432708.60	1.23	grn foc
 1432712.12	0.71	grn non
 1432713.95	0.87	grn non
 1432714.53	0.29	unk non
 1432715.33	0.69	gig non
 1432716.03	1.06	grn non
 1432718.17	0.83	gwl non
 1432719.98	0.11	oth non
 1432720.11	0.57	grn non
 1432720.74	0.21	gig ? non
 1432720.87	0.48	grn non
 1432722.22	0.57	sql non
 1432724.06	1.19	gig foc
 1432725.38	0.59	unk foc
 1432726.04	0.41	grn non
 1432729.87	16.77	fed foc
 1432748.18	1.03	grn foc
 1432749.81	0.46	oth non
 1432751.54	0.72	grn non
 1432755.62	0.71	grn non
 1432756.83	0.89	grn non
 1432760.02	0.84	gig non
 1432764.57	9.09	skp - faint non calls
 1432773.88	0.81	fus[sql + str] non
 1432775.47	0.55	gwl foc
 1432777.82	0.27	unk non
 1432782.84	0.85	rum foc
 1432792.96	0.71	rum non
 1432793.64	3.11	rum foc
 1432797.47	5.57	rum non
 1432808.56	2.03	rum foc
 1432811.05	1.13	rum non
 1432814.94	4.35	seq[rum + grn] foc
 1432819.10	0.99	str cub non
 1432819.25	2.92	rum non
 1432824.11	3.89	seq[rum + sql + rum + gwl] non
 1432830.05	0.17	oth non
 1432832.00	0.09	oth non
 1432839.36	2.86	seq[rum + grn] non
 1432841.48	1.91	seq[rum + grn] foc
 1432848.38	0.45	grn foc
 1432848.95	1.67	seq[rum + grn] foc
 1432853.79	0.24	oth foc
 1432854.12	0.81	rum foc
 1432862.53	0.13	oth foc
 1432865.59	0.47	gig foc
 1432867.31	6.81	nnf - hard section
 1432868.05	1.00	gwl foc
 1432868.94	1.14	sql unf
 1432871.93	2.06	sql unf
 1432875.88	0.55	sql non
 1432878.82	0.35	oth non
 1432879.54	0.47	sql non
 1432880.68	1.13	sql non
 1432882.95	0.65	sql non
 1432883.98	0.31	gig non
 1432886.67	1.57	sql non
 1432888.49	10.90	fed foc
 1432894.95	0.66	gig non
 1432899.84	0.57	sql non
 1432900.47	3.43	skp - hard
 1432903.99	1.24	gwl foc
 1432906.56	0.82	sql foc
 1432909.07	40.98	fed foc
 1432912.42	0.81	whp cub non
 1432915.71	0.86	whp cub non
 1432918.79	1.17	whp cub non
 1432922.21	1.34	whp cub non
 1432926.12	1.60	whp cub non
 1432931.75	1.29	whp cub non
 1432936.45	2.08	whp cub non
 1432950.07	1.58	seq[sql + gwl] foc
 1432951.77	0.98	seq[sql + gwl] foc
 1432952.66	1.64	seq[sql + gwl] foc
 1432954.51	0.73	gwl foc
 1432955.50	0.80	seq[gwl + sql] foc
 1432956.98	1.84	sql foc
 1432960.18	1.11	gig unf
 1432962.71	0.76	sql unf
