 643940.00	0.00	SOA
 644006.75	0.68	whp non
 644010.03	1.86	whp non
 644014.16	2.21	whp non
 644018.81	2.31	whp non
 644024.61	2.40	whp non
 644030.21	2.37	whp non
 644034.93	1.79	whp non
 644040.01	1.52	whp non
 644045.70	1.21	whp non
 644050.55	0.92	whp non
 644056.45	0.51	whp non
 644061.56	1.14	fix:I can only hear noise here
 644061.86	0.71	whp non
 644066.21	0.77	whp non
 644066.27	0.00	nonfix:?
 644208.85	0.62	unk non
 644211.94	0.74	unk non
 644215.65	0.57	unk non
 644218.99	0.68	unk non
 644223.52	0.50	unk non
 644227.87	0.59	unk non
 644232.31	0.52	unk non
 644236.61	0.46	unk non
 644299.99	0.00	EOA
