 799604.00	0.00	soa
 799750.85	15.65	hnt
 799765.76	0.87	prd
 799766.73	0.39	prd
 799767.09	4.25	fed ? foc
 799767.51	0.63	prd
 799769.63	1.76	prd
 799771.44	1.46	prd
 799773.76	6.44	fed foc
 799773.99	2.54	prd
 799778.17	1.53	prd
 799780.10	2.27	prd
 799781.89	3.16	fed foc
 799783.86	0.83	prd
 799786.85	4.08	prd
 799787.12	4.67	fed foc
 799794.38	2.40	prd 
 799796.40	12.67	fed foc
 799798.78	3.48	prd
 799803.75	1.44	prd
 799805.73	2.45	prd
 799809.79	1.29	prd
 799812.77	3.66	fed ? foc
 799812.90	1.40	prd
 799815.60	1.27	prd
 799818.43	3.72	fed foc
 799818.51	1.26	prd
 799825.03	6.84	fed foc
 799832.15	3.74	fed ? foc
 799832.81	0.78	prd
 799838.06	4.30	fed ? foc
 799844.19	7.99	fed ? foc
 799854.79	11.04	fed ? foc
 799867.27	3.73	fed foc
 799871.58	11.00	fed foc
 799883.65	6.78	fed ? foc
 799891.20	0.13	oth non
 799904.06	28.92	fed foc
 799958.52	19.89	fed ? foc
 799979.28	8.54	fed ? foc
 799992.95	10.58	fed foc
 800001.40	0.50	unk non
 800003.58	7.41	fed ? foc
 800015.64	16.16	fed foc
 800036.03	13.29	fed foc
 800066.06	2.04	fed foc
 800069.43	20.20	fed foc
 800090.12	7.80	fed foc
 800101.19	3.16	fed foc
 800118.11	0.51	grn ? foc
 800143.10	0.41	grn ? foc
 800146.99	9.35	fed ? foc
 800156.50	4.09	fed foc
 800166.44	3.24	fed ? foc
 800193.82	3.02	skp - non calls masked by PALA noise
 800197.38	1.68	sql foc
 800228.33	6.81	fed foc
 800228.78	0.47	oth non
 800235.03	1.51	seq[sql + gig] non
 800235.95	2.02	gig cub non
 800238.50	6.38	fed foc
 800243.59	1.10	whp non
 800247.72	9.61	fed foc
 800249.31	0.95	whp non
 800252.95	0.99	whp non
 800254.10	0.14	oth non
 800257.44	1.19	whp non
 800260.22	3.67	fed foc
 800263.69	1.21	whp non
 800267.00	8.47	fed ? foc
 800267.20	1.60	whp non
 800269.01	0.63	sql cub non
 800272.54	1.66	sql cub non
 800274.58	0.19	oth non
 800275.42	0.35	oth non
 800276.28	0.26	gig unf
 800286.93	6.73	fed foc
 800291.32	0.29	gig ? non
 800302.51	5.98	fed foc
 800310.63	10.86	fed foc
 800323.62	12.03	fed foc
 800339.54	6.58	fed foc
 800351.67	5.57	fed ? foc
 800357.33	0.51	gwl non
 800357.64	0.20	sql non
 800358.05	0.43	oth non
 800358.73	0.76	gig non
 800362.85	3.49	fed foc
 800370.28	14.84	fed foc
 800372.03	0.47	sql cub non
 800386.19	0.47	sql non
 800389.48	0.15	oth foc
 800395.32	12.51	fed ? foc
 800396.26	1.72	gig ? non
 800409.45	0.99	gig non
 800411.41	9.95	fed foc
 800422.23	1.81	rum non
 800430.74	2.73	fed foc
 800434.97	8.51	fed foc
 800435.96	0.07	oth non
 800448.47	2.30	fed foc
 800451.66	7.64	fed foc
 800452.37	0.49	oth non
 800454.74	0.41	gig ? non
 800458.09	1.07	sql non
 800471.63	0.66	oth non
 800475.48	3.99	fed foc
 800485.81	0.60	str ? cub non
 800489.96	19.75	fed ? foc
 800507.10	0.23	oth non
 800512.91	3.99	fed foc
 800517.62	0.19	oth non
 800519.02	0.30	oth non
 800519.55	0.55	sql non
 800521.14	0.61	sql non
 800522.38	1.70	sql non
 800526.13	1.91	whp non
 800529.99	1.62	whp non
 800532.78	1.66	whp non
 800534.87	1.38	rum non
 800536.35	1.17	whp non
 800537.60	1.36	unk non
 800538.80	1.72	rum non
 800540.40	2.23	whp non
 800543.04	8.49	fed ? foc
 800543.93	1.40	whp non
 800548.14	0.41	oth non
 800551.73	0.47	gig foc
 800556.46	4.05	fed foc
 800564.03	0.33	sql non
 800570.68	0.74	sql non
 800571.91	1.01	sql non
 800572.31	0.40	gig non
 800572.99	0.29	oth non
 800573.99	1.08	gwl non
 800574.27	0.60	oth non
 800575.46	6.33	fed ? foc
 800575.90	0.66	sql ? non
 800581.08	0.21	oth non
 800581.94	0.38	oth non
 800582.76	0.52	gwl non
 800583.30	0.91	sql non
 800584.85	2.14	fed foc
 800588.18	0.87	sql non
 800589.71	1.14	seq[gwl + gig] foc
 800591.79	1.67	seq[rum + grn] non
 800596.13	0.17	oth non
 800616.88	2.24	grn non
 800628.73	0.25	oth foc
 800631.90	0.77	gig non
 800638.31	10.07	fed foc
 800641.88	0.33	oth non
 800644.13	0.45	unk non
 800646.76	0.28	oth non
 800649.87	19.14	fed foc
 800650.70	0.65	oth non
 800651.75	0.22	oth non
 800653.75	0.37	oth non
 800657.91	0.57	gig ? non
 800660.73	0.14	oth non
 800665.53	0.44	oth non
 800666.83	0.67	oth non
 800668.47	0.39	oth non
 800669.73	0.53	sql unf
 800678.32	4.88	fed foc
 800684.01	0.81	unk non
 800687.02	0.97	sql non
 800689.27	1.26	rum non
 800690.90	0.63	oth non
 800692.97	0.13	oth unf
 800693.10	8.68	fed foc
 800703.59	0.17	oth unf
 800703.91	16.88	fed ? foc
 800706.25	1.09	sql ? non
 800708.23	0.57	sql non
 800709.16	0.58	sql non
 800711.39	0.25	gig non
 800714.53	0.32	unk non
 800721.46	3.04	fed foc
 800725.77	0.65	sql non
 800727.64	0.68	rum foc
 800728.56	0.70	unk non
 800729.33	1.05	rum non
 800735.57	0.67	gig non
 800737.34	0.47	oth non
 800763.23	0.26	oth foc
