 640979.99	0.00	SOA
 641221.81	0.49	whp foc
 641225.91	1.84	whp foc
 641232.36	2.13	whp foc
 641239.72	1.27	whp foc
 641245.22	1.43	whp foc
 641250.04	1.49	whp foc
 641255.05	1.65	whp foc
 641260.13	1.87	whp foc
 641563.22	0.54	unk non
 641564.91	0.83	unk non
 641569.38	1.06	sql foc
 641571.22	0.83	sql ? foc
 641572.01	0.52	whp non
 641572.75	0.76	sql ? foc
 641574.16	0.78	sql ? foc
 641575.86	0.92	whp ? foc
 641578.74	1.14	whp foc
 641580.69	1.03	whp foc
 641582.68	1.00	whp foc
 641584.44	0.84	whp foc
 641586.65	1.19	whp non
 641588.78	0.87	whp non
 641590.86	0.71	whp foc
 641594.55	1.00	whp foc
 641598.41	1.11	whp foc
 641602.24	1.22	whp foc
 641606.49	1.56	whp foc
 641654.78	0.26	rum foc
 641655.55	0.58	rum foc
 641686.08	0.13	unk non
 641841.33	1.31	rum foc
 642180.01	0.00	EOA
