  0.00	0.00	d
 864811.01	0.00	soa
 868017.40	0.34	oth foc
 869016.67	1.44	oth unf
 871116.83	0.46	oth foc
 871178.70	0.59	grn foc
 871296.12	0.36	grn? non
 871305.80	0.52	grn non
 871937.33	0.46	oth non
 873643.64	0.64	gig foc
 873651.25	0.47	gig foc
 873653.41	0.60	gig foc
 873670.95	0.48	gig foc
 873996.78	0.37	oth non
 873997.81	0.29	oth non
 873998.84	1.16	oth non
 874000.54	0.75	oth non
 874465.70	0.98	oth non
 874594.90	0.82	oth non
 875520.14	0.76	grn non
 875522.64	1.36	grn non
 876211.82	0.81	whp non
 876216.29	0.76	whp non
 876219.77	0.66	whp non
 876224.48	0.92	whp non
 876412.19	0.41	grn non
 876415.92	0.68	grn non
 876612.95	1.46	grn non
 876881.89	0.99	grn non
 876886.21	0.53	grn non
 876982.97	0.70	grn non
 876999.65	0.66	grn non
 877012.62	0.35	oth non
 877029.38	1.21	grn non
 877105.28	2.07	grn non
 878449.76	0.54	oth non
 878450.61	1.14	oth? non
 879373.40	0.80	whp non
 879377.31	0.91	whp non
 879381.41	0.78	whp non
 879385.41	1.06	whp non
 879389.75	1.14	whp non
 879394.50	1.11	whp non
 879399.25	1.09	whp non
 879953.09	1.81	oth cub? non
 879954.93	0.79	grn non
 881873.09	0.89	oth non
 882556.84	1.34	grn non
 882560.99	1.06	grn non
 885747.85	0.84	whp? non
 886602.62	0.79	sql non
 886603.41	0.79	oth non
 886609.09	0.82	sql non
 886610.07	2.01	grn non
 886612.41	1.01	sql non
 886615.10	2.21	grn non
 886616.01	0.50	sql non
 886621.03	2.57	grn non
 886634.96	0.67	oth foc
 886636.69	2.44	grn non
 886644.34	2.01	grn non
 886650.80	0.54	oth foc
 886652.62	0.67	oth unf
 886655.48	1.91	whp non
 886658.27	1.80	grn non
 886664.88	0.99	oth non
 886695.30	0.67	oth non
 886705.15	0.57	whp non
 891906.36	0.58	whp foc
 891909.65	1.59	whp foc
 891913.12	1.74	whp foc
 891917.25	1.54	whp foc
 891921.29	1.72	whp foc
 891925.32	1.95	whp foc
 891928.29	1.00	whp non
 891929.94	1.89	whp foc
 891932.27	1.12	whp non
 891933.96	2.39	whp foc
 891938.13	1.62	whp unf
 891941.43	1.42	whp unf
 891944.24	1.65	whp unf
 891947.39	1.29	whp unf
 891950.29	1.33	whp unf
 891953.40	1.39	whp unf
 891957.07	1.34	whp unf
 892012.98	1.05	grn unf
 892013.65	0.65	sql unf
 892018.69	0.54	sql non
 892021.24	0.93	gig non
 892025.43	0.50	oth non
 892030.02	0.59	oth non
 892035.83	0.87	oth non
 892384.09	1.70	grn foc
 892388.38	1.99	grn foc
 892392.04	1.50	grn foc
 892395.14	1.12	grn foc
 892646.60	1.03	grn unf
 892660.31	1.15	grn unf
 892666.81	0.85	grn unf
 892668.69	0.95	grn unf
 892670.20	1.32	grn unf
 892672.78	1.37	grn unf
 892681.84	1.34	grn unf
 892698.71	1.33	grn foc
 892700.56	1.42	fus [grn + gwl] foc
 892702.47	1.51	fus [grn + gwl] foc
 892704.57	1.18	gwl foc
 892716.46	0.65	grn unf
 892719.01	0.78	grn unf
 892722.04	0.93	grn unf
 892724.09	1.05	grn unf
 892753.96	1.60	fus [grn + gwl] foc
 892756.23	1.70	fus [grn + gwl] foc
 892771.27	1.35	oth unf
 892782.63	1.18	fus [grn + gwl] unf
 892785.32	1.33	fus [grn + gwl] unf
 892805.76	0.97	grn foc
 892811.70	0.93	grn foc
 892816.96	0.91	grn foc
 892819.53	1.27	whp foc
 892822.55	1.69	whp foc
 892851.30	0.61	grn unf
 892852.45	1.21	grn unf
 892856.30	1.15	grn unf
 892861.67	0.69	oth unf
 892903.57	2.25	grn foc
 892906.97	2.00	grn foc
 892981.72	0.90	whp non
 892985.94	0.96	whp non
 893016.05	0.00	eoa
