 543841.01	0.00	soa
 544049.90	0.72	grn foc
 544050.82	0.77	grn foc
 544055.84	1.96	grn foc
 544062.95	1.21	whp non
 544064.84	1.86	grn foc
 544066.71	0.81	grn non
 544071.36	1.25	whp non
 544071.60	0.85	gig non
 544073.30	1.38	grn foc
 544074.97	1.01	grn non
 544079.70	1.57	grn foc
 544083.16	1.41	sql foc
 544085.87	1.12	grn non
 544089.01	1.03	grn non
 544090.10	1.48	grn foc
 544094.43	1.72	oth foc
 544097.17	0.47	sql non
 544098.31	0.73	sql non
 544099.99	1.63	grn foc
 544102.44	0.72	oth foc
 544104.87	1.19	grn foc
 544127.55	0.42	str cub non
 544138.40	0.21	str cub non
 544139.21	0.70	str cub non
 544236.34	1.21	grn foc
 544440.99	0.00	eoa
