 124038.00	0.00	SOA
 124039.36	0.47	whp non
 124039.61	1.62	gig non
 124039.99	0.42	fix: oth non
 124042.14	0.63	whp non
 124045.26	0.92	grn foc
 124047.00	0.64	grn foc
 124049.14	0.92	grn foc
 124050.55	0.76	whp ? non
 124054.39	0.44	whp ? non
 124061.30	0.69	gig non
 124062.65	0.67	grn non
 124067.47	1.29	grn foc
 124071.22	0.57	whp non
 124071.48	1.15	grn foc
 124089.03	0.33	grn unf
 124090.74	1.25	str cub non
 124090.98	0.00	nonfix: zebra sound?
 124092.57	1.46	grn foc
 124095.34	1.44	grn foc
 124098.55	0.89	whp non
 124098.62	6.24	nonfix: double check these whps
 124098.78	0.55	grn non
 124100.75	1.21	grn non
 124101.09	0.40	whp non
 124102.27	0.53	whp ? non
 124103.34	1.20	fix: this could be a cub whoop?
 124103.40	1.16	sql ? non
 124105.74	1.49	grn foc
 124117.02	0.40	whp non
 124118.46	1.48	grn foc
 124120.94	0.96	gig non
 124121.93	1.58	sql non
 124123.44	2.24	nonfix: clarify these whps
 124123.55	0.50	whp non
 124123.96	0.53	sql non
 124124.84	0.65	whp non
 124125.15	0.55	sql non
 124126.78	1.31	grn foc
 124129.02	1.83	grn foc
 124131.70	1.30	grn foc
 124132.34	0.26	str cub non
 124134.45	0.56	whp non
 124136.02	1.58	whp non
 124136.07	1.58	nonfix: whp or grn? 
 124136.66	0.59	gig non
 124139.08	1.01	grn foc
 124141.70	0.25	oth unf
 124142.10	0.83	grn foc
 124143.47	0.72	grn foc
 124154.60	0.87	grn foc
 124156.40	8.02	fix: whp cub non
 124156.55	0.58	whp non
 124157.26	0.73	whp non
 124158.59	0.61	whp non
 124159.88	0.68	whp non
 124161.32	0.62	whp non
 124162.81	0.42	whp non
 124163.86	0.53	whp non
 124164.41	1.14	grn foc
 124166.07	0.83	grn foc
 124167.35	0.84	grn foc
 124168.79	0.76	grn foc
 124170.47	0.84	grn foc
 124172.52	0.83	grn foc
 124174.78	0.85	grn foc
 124176.27	0.57	grn foc
 124177.26	0.44	grn foc
 124177.97	0.56	oth non
 124178.58	0.99	grn foc
 124180.25	0.79	grn foc
 124185.58	0.73	grn foc
 124187.07	0.53	grn foc
 124188.16	0.84	grn foc
 124190.12	1.09	grn foc
 124191.58	0.74	grn foc
 124206.85	0.54	grn foc
 124207.82	0.32	grn foc
 124214.83	0.91	grn foc
 124217.86	0.88	grn foc
 124221.33	0.71	whp non
 124222.71	0.52	whp non
 124223.38	0.56	whp ? non
 124224.92	0.57	whp non
 124225.75	0.79	whp non
 124227.14	1.30	grn foc
 124228.44	0.62	whp non
 124229.58	0.99	whp non
 124231.39	0.90	grn non
 124231.40	0.91	fix: whp non
 124233.28	0.57	whp non
 124235.30	0.63	whp non
 124236.45	1.38	grn foc
 124237.83	0.45	whp non
 124239.16	0.69	grn foc
 124241.03	0.74	grn foc
 124246.75	0.73	grn foc
 124247.97	0.50	grn foc
 124263.00	1.00	oth non
 124276.34	0.81	grn foc
 124277.61	0.68	grn foc
 124285.37	0.77	grn foc
 124287.20	0.73	grn foc
 124288.45	0.71	grn foc
 124289.65	0.65	grn foc
 124298.81	0.74	grn foc
 124316.32	0.28	grn foc
 124317.02	0.74	grn foc
 124318.89	1.21	grn foc
 124320.77	0.87	grn foc
 124326.32	0.89	grn foc
 124328.70	0.94	grn foc
 124331.20	1.14	grn foc
 124334.54	0.73	whp non
 124336.33	0.85	whp non
 124337.75	0.96	grn foc
 124339.78	0.82	grn foc
 124341.25	0.81	grn foc
 124342.16	0.26	sql ? non
 124342.69	0.92	grn foc
 124344.06	0.65	grn foc
 124345.36	0.80	grn foc
 124351.44	0.61	whp non
 124353.17	1.28	grn foc
 124355.22	0.92	whp non
 124356.57	0.88	whp non
 124358.31	0.97	grn foc
 124360.38	0.60	grn foc
 124362.85	0.70	oth non
 124365.90	0.54	grn foc
 124372.66	0.68	grn foc
 124373.89	0.71	grn foc
 124375.20	4.82	skp some more non calls but barely heardable
 124377.66	1.00	whp non
 124380.33	1.29	grn foc
