 211795.00	0.00	soa
 212023.60	0.32	oth unf
 212032.55	0.22	oth unf
 212157.26	0.00	fix: unsure whether hyena sounds
 212158.29	0.48	unk
 212160.40	1.42	unk
 212163.90	1.00	unk
 212193.90	0.85	unk
 212254.98	0.00	fix: unsure whether hyena sound
 212256.08	2.25	unk
 212328.79	0.62	whp non
 212332.88	0.83	whp non
 212335.49	1.48	whp foc
 212339.29	1.65	whp foc
 212343.32	1.52	whp foc
 212346.52	0.00	fix: seq[whp+grn]?
 212347.53	1.90	whp foc
 212349.53	0.75	grn foc
 212352.42	1.29	whp foc
 212356.21	1.51	whp foc
 212395.01	0.00	eoa
