 103561.00	0.00	SOA
 103865.23	0.08	oth non
 103910.65	2.19	grn non
 103914.66	2.98	grn non
 103919.22	0.87	grn ? non
 103921.09	0.38	oth non
 103924.39	1.26	grn non
 103928.21	2.80	grn non
 103931.44	0.00	fix: oth?
 103932.10	1.27	grn ? non
 103942.01	0.09	oth non
 103944.63	1.23	oth non
 103947.91	0.28	oth non
 103970.11	0.16	oth non
 103971.72	0.00	fix: unsure whether call
 103972.41	0.30	oth non
 104075.28	0.00	fix: unsure whether call
 104076.00	0.34	oth unf
 104160.90	0.00	EOA
