 1743486.00	0.00	soa
 1746009.56	0.21	oth foc
 1746012.17	0.49	rum foc
 1747439.28	0.99	gig non
 1747453.49	0.63	sql non
 1747454.48	0.32	oth non
 1747457.25	0.57	sql non
 1747458.67	1.66	sql unf
 1747460.88	0.43	gig unf
 1747486.01	2.10	rum foc
 1749303.48	35.28	fed foc
 1749339.81	26.46	fed ? foc
 1749628.17	1.56	gig non
 1749632.18	0.84	gig non
 1749633.11	0.97	whp non
 1749635.05	0.98	whp non
 1749637.42	1.21	whp non
 1749639.82	1.18	whp non
 1749642.50	1.15	whp non
 1749645.15	1.38	whp non
 1749648.34	1.50	whp non
 1749651.68	1.52	whp non
 1749654.78	1.68	whp non
 1749658.56	1.72	whp non
 1749662.32	1.73	whp non
 1749695.36	1.88	oth cub non
 1749697.26	1.15	sql cub non
 1749698.53	0.60	whp non
 1749699.55	2.42	sql cub non
 1749700.55	1.00	whp non
 1749702.80	0.65	sql cub non
 1749703.15	2.36	whp non
 1749705.77	1.01	whp non
 1749706.92	0.71	whp non
 1749708.09	1.16	whp non
 1749710.36	0.57	whp non
 1749712.38	0.55	whp non
 1749714.03	0.78	whp non
 1749715.80	0.72	whp non
 1749717.73	0.74	whp non
 1749720.20	0.97	whp non
 1749722.08	1.06	whp non
 1749724.05	1.00	whp non
 1749726.27	1.04	whp non
 1749728.95	1.94	sql cub non
 1749769.53	0.98	oth non
 1749905.35	0.64	oth non
 1749915.95	0.79	oth non
 1749924.04	0.25	oth non
 1749928.19	1.06	oth non
 1749944.90	0.45	sql non
 1749946.60	0.19	oth non
 1749947.39	1.38	sql non
 1749948.82	0.96	gig non
 1749950.23	1.35	oth non
 1749953.21	0.72	sql unf
 1750522.97	0.33	oth non
 1750686.01	0.00	eoa
