 1748329.00	0.00	SOA
 1748652.37	0.61	sql non
 1748653.10	0.56	sql non
 1748653.84	0.78	sql non
 1748656.10	1.02	sql non
 1748657.60	0.65	sql non
 1748658.97	0.59	sql non
 1748664.19	0.52	sql non
 1748666.33	0.42	sql non
 1748689.51	2.13	sql non
 1748689.64	0.92	grn unf
 1748692.62	0.30	oth non
 1748694.57	0.36	sql non
 1748697.79	0.86	sql non
 1748711.27	0.32	oth non
 1748711.80	1.35	oth non
 1748714.41	0.51	sql non
 1748732.10	0.69	sql non
 1748736.94	1.20	sql non
 1748738.88	0.55	gig non
 1748739.76	0.54	oth non
 1748740.52	0.51	sql non
 1748741.43	0.55	oth unf
 1748743.44	0.33	sql ? unf
 1748749.82	0.56	sql unf
 1748750.38	1.71	skp barely audible calls
 1748752.21	0.43	sql unf
 1748758.34	0.43	oth non
 1748759.84	0.87	sql non
 1748761.17	0.57	str ? cub non
 1748767.45	0.63	sql non
 1748769.65	3.74	sql non
 1748773.86	0.20	sql non
 1748774.25	0.45	gig unf
 1748784.10	0.17	oth non
 1748785.56	0.42	sql non
 1748795.84	0.25	str cub non
 1748799.22	0.79	sql unf
 1748800.65	0.28	oth non
 1748811.14	0.19	oth non
 1748812.87	0.77	sql non
 1748813.65	0.54	sql non
 1748814.26	0.52	sql non
 1748814.98	0.96	sql non
 1748816.30	0.86	sql non
 1748817.85	0.25	oth non
 1748818.51	1.29	seq[gig+sql] cub non
 1748821.61	0.10	oth non
 1748822.56	0.62	sql cub non
 1748824.27	0.66	sql cub non
 1748827.98	0.56	str cub non
 1748829.77	0.26	str cub non
 1748831.70	0.58	gig unf
 1748832.87	0.61	gig unf
 1748834.89	0.24	oth cub non
 1748835.12	0.63	sql cub non
 1748838.30	0.29	oth non
 1748839.25	1.14	sql non
 1748841.63	0.70	sql non
 1748843.23	0.51	oth non
 1748847.49	0.55	oth non
 1748849.43	1.13	sql non
 1748856.17	0.98	sql non
 1748857.17	0.50	sql non
 1748860.10	0.43	sql non
 1748880.42	0.52	sql non
 1748881.34	0.69	sql non
 1748885.62	0.65	oth non
 1748886.59	0.96	sql ? non
