 641029.01	0.00	soa
 641040.13	1.15	grn non
 641044.63	1.97	grn non
 641099.92	1.66	grn non
 641145.48	0.41	whp non
 641148.69	1.72	whp non
 641154.57	1.54	whp non
 641159.70	1.62	whp non
 641162.07	0.45	whp non
 641164.71	0.89	whp non
 641165.50	0.77	whp non
 641170.21	0.83	whp non
 641171.05	0.76	whp non
 641174.31	1.00	whp non
 641179.08	1.09	whp non
 641192.79	2.50	grn unf
 641203.88	2.01	grn non
 641218.82	1.28	whp non
 641222.93	1.57	whp non
 641227.81	1.52	grn unf
 641231.18	1.79	grn foc
 641235.18	2.04	grn unf
 641259.43	1.83	oth non
 641260.43	0.95	whp ? non
 641261.88	1.37	whp non
 641433.63	0.65	whp non
 641436.50	1.10	whp non
 641437.05	0.55	whp non
 641441.91	1.53	grn unf
 641453.02	0.95	grn unf
 641497.24	0.52	whp non
 641500.13	1.17	whp non
 641503.55	1.08	whp non
 641506.63	1.72	whp non
 641510.41	1.92	whp non
 641514.55	2.02	whp non
 641518.68	1.41	whp non
 641521.85	1.72	whp non
 641525.81	2.14	whp non
 641662.50	1.42	oth non
 641666.86	1.74	grn unf
 642014.12	0.91	grn non
 642049.08	1.24	grn unf
 642144.77	1.07	whp non
 642146.39	0.16	oth non
 642148.86	1.10	whp non
 642153.33	2.23	whp non
 642159.21	2.53	whp non
 642165.84	1.47	whp non
 642170.87	1.55	whp non
 642176.34	1.48	whp non
 642179.52	1.19	grn non
 642181.69	0.38	grn ? non
 642182.22	2.73	whp non
 642211.03	1.66	grn non
 642229.22	1.63	grn unf
 642232.24	1.08	grn non
 642234.12	1.07	grn non
 642237.48	0.71	grn non
 642239.02	0.00	eoa
