 1564192.00	0.00	soa
 1565361.75	4.33	prd
 1565371.64	0.57	prd
 1565372.56	0.83	prd
 1565373.82	0.63	prd
 1565375.20	0.52	oth foc
 1565375.63	1.02	prd
 1565379.67	0.96	prd 
 1565382.06	1.34	prd
 1565383.87	32.24	fed ? foc
 1565388.11	0.99	prd
 1565413.42	0.50	sql non
 1565413.92	0.96	gig non
 1565417.22	1.30	gig non
 1565424.77	11.25	fed ? foc
 1565432.71	2.90	sql non
 1565436.84	27.35	fed ? foc
 1565443.58	0.49	oth non
 1565446.46	0.69	oth non
 1565448.03	0.76	oth non
 1565458.14	0.47	oth non
 1565460.34	1.11	sql non
 1565461.91	1.13	oth non
 1565464.55	0.43	oth non
 1565464.93	0.61	oth foc
 1565465.65	9.97	fed ? foc
 1565477.81	44.28	fed foc
 1565480.28	0.56	oth non
 1565489.27	1.70	gig non
 1565491.96	0.59	gig non
 1565526.73	0.29	oth non
 1565526.95	0.61	gwl ? foc
 1565527.75	0.89	oth non
 1565529.05	10.84	fed ? foc
 1565531.98	0.96	gig non
 1565532.94	0.31	oth non
 1565540.09	0.37	oth foc
 1565540.47	43.45	fed foc
 1565541.90	0.47	gig non
 1565543.45	0.53	sql non
 1565544.67	0.43	sql non
 1565545.49	1.75	oth non
 1565550.44	0.60	oth non
 1565553.92	2.60	gig non
 1565557.01	1.82	sql non
 1565559.72	0.57	sql non
 1565561.70	0.82	sql non
 1565566.48	0.78	oth non
 1565569.86	0.22	oth foc
 1565571.51	0.69	oth foc
 1565573.92	0.18	oth foc
 1565576.56	1.01	oth foc
 1565577.20	1.01	oth non
 1565578.62	1.14	oth non
 1565583.54	0.40	oth non
 1565585.08	0.46	oth non
 1565587.60	0.31	oth foc
 1565587.60	0.31	sql non
 1565589.77	40.76	fed foc
 1565598.84	2.04	gig non
 1565611.76	0.39	oth non
 1565628.07	0.47	oth foc
 1565632.58	10.35	fed foc
 1565650.76	13.39	fed foc
 1565667.39	0.31	oth foc
 1565676.73	77.82	fed foc
 1565755.34	12.57	fed foc
 1565769.07	6.52	fed foc
 1565776.78	12.29	fed foc
 1565778.19	0.61	oth non
 1565791.15	24.28	fed foc
 1565816.07	4.27	fed ? foc
 1565824.48	7.20	fed foc
 1565833.31	2.69	fed ? foc
 1565838.18	74.23	fed foc
 1565912.68	34.70	fed foc
 1565958.44	0.71	gig non
 1565966.60	6.57	fed foc
 1566023.39	10.46	fed foc
 1566041.68	48.00	fed foc
 1566130.52	0.65	oth foc
 1566131.29	16.72	fed foc
 1566191.59	6.32	fed foc
 1566199.65	16.42	fed foc
 1566201.93	0.31	oth foc
