 1744926.00	0.00	soa
 1746011.78	0.92	rum unf
 1747439.12	1.08	gig non
 1747453.48	0.73	sql non
 1747454.47	0.38	oth non
 1747455.06	0.68	oth non
 1747457.24	0.65	sql non
 1747458.57	2.32	sql non
 1747460.90	0.43	gig non
 1747486.02	2.12	rum foc
 1749303.44	25.30	fed ? foc
 1749345.71	17.90	fed ? foc
 1749626.14	0.50	gig non
 1749628.48	1.34	gig non
 1749632.29	0.63	gig non
 1749633.08	1.00	whp non
 1749635.03	1.01	whp non
 1749637.42	1.23	whp non
 1749639.77	1.23	whp non
 1749642.72	1.00	whp non
 1749645.14	1.39	whp non
 1749648.33	1.56	whp non
 1749651.68	1.52	whp non
 1749654.77	1.66	whp non
 1749658.56	1.73	whp non
 1749662.57	1.72	whp non
 1749693.07	0.68	whp non
 1749695.41	1.74	whp non
 1749697.07	1.36	unk
 1749698.42	0.83	whp non
 1749700.13	1.88	oth non
 1749700.55	0.94	whp non
 1749702.80	0.74	sql non
 1749703.10	2.38	whp non
 1749705.75	1.06	whp non
 1749706.94	0.73	whp non
 1749708.09	1.19	whp non
 1749708.59	0.69	whp non
 1749710.42	0.55	whp non
 1749712.42	0.50	whp non
 1749714.04	0.79	whp non
 1749715.73	0.82	whp non
 1749717.77	0.71	whp non
 1749720.15	1.06	whp non
 1749722.09	1.05	whp non
 1749724.02	1.05	whp non
 1749726.20	1.13	whp non
 1749728.93	0.78	oth non
 1749730.37	0.67	oth non
 1749769.50	0.55	oth non
 1749905.33	0.63	sql non
 1749915.95	0.78	oth non
 1749928.19	1.28	oth non
 1749944.87	0.92	sql non
 1749947.35	2.48	seq[sql + gig] non
 1749950.33	1.25	oth non
 1749953.24	0.53	sql non
 1750793.21	0.44	oth non
 1750851.20	0.78	sql non
 1750853.58	2.16	gig non
 1751066.95	0.96	gig non
 1751117.30	8.26	fed ? foc
 1751909.38	0.27	oth non
 1752126.01	0.00	eoa
