 127805.99	0.00	soa
 127845.39	1.73	sql non
 127848.52	0.27	sql non
 127848.95	0.62	sql non
 127849.88	0.61	sql non
 127851.32	0.12	sql non
 127853.08	1.84	gig foc
 127858.16	0.52	sql non
 127861.14	0.86	oth non
 127866.44	0.37	gig non
 127867.71	0.65	sql non
 127872.20	0.58	oth non
 127875.36	0.41	str cub non ?
 127879.51	0.78	oth non
 127883.55	0.61	str cub non
 127885.09	1.00	whp ? non
 127886.42	1.37	gig non
 127886.78	0.40	oth non
 127888.50	1.24	sql non
 127889.54	0.52	grn foc
 127891.06	0.35	oth foc
 127892.43	0.73	sql non
 127897.65	1.07	grn non
 127899.04	0.38	sql cub non
 127900.88	0.66	oth non 
 127901.74	0.06	oth non
 127901.91	0.46	oth foc
 127902.42	0.48	sql non
 127903.39	0.63	sql non
 127905.19	0.18	oth non
 127906.47	0.62	sql non
 127908.04	0.44	sql non
 127909.01	0.68	str cub non
 127912.07	0.35	sql cub non
 127912.75	0.43	oth non
 127916.15	1.71	str cub non
 127920.51	0.44	sql non
 127924.01	0.24	oth non
 127927.25	0.78	sql non
 127934.03	0.62	gig ? non
 127938.61	0.71	sql non
 127942.42	0.17	oth foc
 127948.32	0.30	oth unf
 127955.21	0.41	sql non
 127956.92	0.25	sql cub non
 127962.60	1.71	sql non
 127965.61	0.48	sql ? non
 127967.77	0.21	oth unf
 128001.65	0.69	sql foc
 128002.61	0.79	sql foc
 128003.79	1.14	sql foc
 128005.87	1.00	whp foc
 128008.84	0.28	oth unf
 128009.18	1.19	whp foc
 128010.56	0.74	sql ? non
 128012.38	1.13	whp foc
 128013.57	0.58	sql non
 128014.38	0.45	sql non
 128014.97	0.17	sql non
 128015.63	0.97	gwl foc
 128022.91	0.45	sql non
 128023.69	0.35	sql non
 128024.29	0.77	sql non
 128025.20	0.40	sql non
 128026.33	0.52	oth non
 128030.83	0.54	oth non
 128032.38	0.39	oth non
 128039.25	0.49	sql non
 128042.70	1.23	sql non
 128044.70	1.08	gig ? non
 128046.94	2.24	oth non
 128049.34	0.56	oth non
 128050.18	0.58	oth non
 128051.78	0.93	oth non
 128053.08	0.36	sql non
 128057.45	0.18	oth non
 128083.50	0.41	sql non
 128085.38	0.62	sql non
 128086.43	0.19	oth non
 128087.22	0.52	oth non
 128089.33	0.50	sql non
 128092.14	0.88	gig ? non
 128100.42	1.09	whp non
 128102.25	1.40	sql non
 128105.06	1.03	sql non
 128107.04	0.24	oth non
 128113.10	1.19	seq[rum+grn] foc ?
 128118.95	1.06	sql ? non
 128137.15	0.52	sql non
 128144.91	0.28	sql ? non
 128146.96	0.58	sql ? non
 128148.27	0.47	sql non
 128150.88	1.11	sql non
 128152.11	0.29	sql ? non
 128152.94	0.70	gwl ? unf
 128156.01	0.75	sql non
 128162.17	0.36	sql ? non
 128162.99	0.50	grn ? foc
 128189.57	0.61	sql non
 128192.06	0.35	whp ? foc
 128192.77	0.28	oth non
 128197.53	0.32	sql non
 128198.35	0.78	str cub non
 128202.83	0.24	sql non
 128203.93	0.56	sql non
 128205.83	1.27	oth non
 128207.59	0.83	sql non
 128208.62	0.18	sql non
 128210.43	0.77	whp ? non
 128211.60	0.81	oth unf
 128212.79	0.32	gig non
 128214.28	0.34	grn foc
 128214.49	0.07	oth non
 128215.30	0.65	grn foc
 128218.69	0.91	sql non
 128219.75	0.32	sql non
 128220.22	0.46	sql non
 128221.45	0.90	sql non
 128227.66	0.24	str cub non ?
 128231.36	0.62	sql non
