 36009.82	0.00	soa
 38688.13	0.69	oth non
 38695.37	0.20	oth non
 39184.51	0.66	sql unf
 39186.30	0.37	sql non
 39186.60	0.44	gig non
 39187.25	0.55	sql non
 39187.86	0.72	gig unf
 39188.68	0.56	sql non
 39189.06	0.45	sql non
 39189.55	1.00	gig non
 39190.83	1.58	grn unf
 39190.89	0.59	sql non
 39191.61	1.02	seq [gig + sql] non
 39192.89	0.55	sql non
 39193.20	0.74	grn non
 39193.55	0.35	gig non
 39194.69	0.31	sql non
 39194.91	1.30	grn non
 39194.91	1.30	gig non
 39196.88	0.74	grn non
 39196.88	0.74	gig non
 39197.69	0.90	rum foc
 39199.66	0.84	sql non
 39200.48	0.69	gig non
 39201.20	0.55	oth non
 39202.22	1.33	sql cub non
 39204.24	0.53	rum non
 39204.66	0.96	grn non
 39205.94	1.21	sql non
 39207.29	1.32	rum foc
 39208.49	0.78	oth non
 39211.77	0.58	sql non
 39213.44	0.59	sql non
 39217.21	0.60	sql non
 39217.95	0.61	oth non
 39225.26	0.96	grn non
 39231.90	0.76	grn non
 39233.37	0.42	grn non
 39249.02	0.95	whp non
 39251.36	1.21	whp non
 39256.59	0.91	whp non
 39260.70	0.24	sql non
 39262.37	0.91	sql non
 39264.24	1.32	whp non
 39264.83	0.72	whp non
 39267.94	0.43	sql non
 39268.75	1.25	seq [sql + gig] non
 39268.79	1.56	whp non
 39271.21	0.31	unk non
 39273.96	0.73	oth non
 39274.17	0.46	oth non
 39274.86	0.61	sql non
 39276.03	0.37	oth foc
 39276.41	0.26	sql non
 39277.40	0.37	oth unf
 39277.89	0.31	sql non
 39278.05	0.31	gig foc
 39278.80	0.27	sql non
 39279.54	0.54	gig non
 39280.21	0.58	sql non
 39280.80	0.24	gig non
 39282.73	0.49	oth non
 39283.66	0.43	sql non
 39284.10	0.27	oth non
 39284.58	0.44	oth non
 39285.52	0.44	oth non
 39286.85	0.48	gig unf
 39287.37	1.43	sql non
 39290.68	23.37	fed foc
 39296.53	0.62	sql non
 39300.00	0.61	oth foc
 39316.67	1.14	gig foc
 39368.88	1.05	gig non
 39370.05	0.78	oth non
 39371.03	1.01	sql non
 39373.59	0.52	sql non
 39375.95	0.50	rum unf
 39376.30	0.46	oth non
 39385.00	9.07	fed foc
 39396.20	22.26	fed foc
 39426.29	0.44	rum foc
 39432.99	1.65	rum non
 39446.78	1.64	sql non
 39448.45	1.29	gig non
 39449.83	2.64	gig non
 39461.05	0.84	oth non
 39462.71	1.39	gwl non
 39464.09	2.05	gig foc
 39465.10	0.26	sql non
 39466.34	0.35	gig non
 39466.68	0.74	gwl foc
 39478.79	0.37	oth non
 39480.63	0.37	oth non
 39481.14	0.88	oth non
 39501.53	0.28	oth non
 39501.76	2.98	rum non
 39507.29	1.10	sql cub non
 39508.67	1.89	sql non
 39510.71	0.84	sql non
 39511.57	0.52	sql non
 39512.17	0.85	sql non
