 486114.01	0.00	soa
 486191.76	7.56	fed foc
 486202.87	24.27	fed foc
 486227.70	9.86	fed ? foc
 486238.14	10.78	fed foc
 486250.55	2.04	oth unf
 486265.34	0.06	oth foc
 486266.08	0.08	oth foc
 486280.82	0.58	oth foc
 486428.78	3.64	fed ? foc
 486433.33	24.75	fed foc
 486458.88	3.00	fed ? foc
 486462.30	12.48	fed ? foc
 486464.77	1.12	oth non
 486527.47	5.93	fed ? foc
 486534.64	15.54	fed foc
 486552.78	11.56	fed foc
 486565.51	23.65	fed foc
 486590.08	11.07	fed foc
 486602.43	11.71	fed foc
 486614.68	17.68	fed foc
 486632.87	31.21	fed foc
 486667.10	45.33	fed foc
 486714.00	0.00	eoa
