 181727.00	0.00	soa
 181997.76	1.55	grn non
 182000.16	1.54	grn non
 182002.35	1.11	grn non
 182004.29	0.56	grn non
 182008.67	0.87	grn non
 182009.38	0.91	sql non
 182010.44	1.25	sql non
 182011.89	0.90	sql non
 182014.77	0.81	sql foc
 182016.80	1.84	sql non
 182017.13	1.32	gig non
 182018.87	1.13	sql non
 182019.13	0.38	gig non
 182022.89	0.34	sql non
 182026.82	0.49	sql non
 182028.80	0.26	str ? cub non
 182029.59	0.36	grn non
 182030.96	0.25	str cub non
 182031.79	0.93	grn non
 182036.15	1.16	grn non
 182042.32	0.47	oth foc
 182327.02	0.00	eoa
