 442015.02	0.00	soa
 442466.77	1.44	grn foc
 442469.51	1.29	grn foc
 442473.53	0.50	oth non
 442474.33	1.14	grn foc
 442482.50	1.55	grn foc
 442490.05	1.36	grn foc
 442496.59	0.49	grn ? foc
 442497.54	0.67	sql non
 442498.33	1.09	grn ? foc
 442501.55	0.67	sql non
 442503.92	1.55	grn foc
 442507.58	1.24	grn foc
 442513.56	0.96	grn foc
 442528.41	0.89	grn ? foc
 442539.14	1.43	grn ? foc
 442543.49	1.80	grn foc
 442549.87	1.25	grn foc
 442573.27	1.18	grn foc
 442590.76	1.40	grn foc
 442598.97	1.95	grn foc
 442615.00	0.00	eoa
