 124711.98	0.00	soa
 125459.48	37.57	fed foc
 125498.08	20.32	fed foc
 125533.97	43.41	fed foc
 125582.70	34.34	fed foc
 125643.87	17.10	fed foc
 125661.82	7.57	fed foc
 125670.45	26.08	fed foc
 125721.10	3.98	fed foc
 125728.25	11.28	fed foc
 125744.52	5.19	fed foc
 125757.26	3.33	fed foc
 125783.86	4.80	fed foc
 125803.42	3.70	fed foc
 125809.57	19.82	fed foc
 125830.94	12.84	fed foc
 125845.16	11.42	fed foc
 125862.01	12.26	fed foc
 125877.61	16.22	fed foc
 125894.47	2.18	fed foc
 125897.63	5.90	fed foc
 125912.75	19.23	fed foc
 125933.75	11.26	fed foc
 125946.03	9.82	fed foc
 125966.77	8.85	fed foc
 125991.81	7.74	fed foc
 126000.56	11.84	fed foc
 126015.17	10.02	fed foc
 126026.06	3.70	fed foc
 126030.81	8.14	fed foc
 126052.96	14.34	fed foc
 126069.72	9.74	fed foc
 126090.15	4.06	fed foc
 126102.46	8.98	fed foc
 126113.06	4.75	fed foc
 126120.58	20.44	fed foc
 126155.33	4.55	fed foc
 126197.52	12.07	fed foc
 126211.02	11.11	fed foc
 126223.09	31.44	fed foc
 126255.23	9.47	fed foc
 126267.66	10.59	fed foc
 126278.91	30.34	fed foc
 126311.95	31.66	fed foc
 126347.69	1.15	rum foc
 126351.87	22.08	fed foc
 126376.97	9.48	fed foc
 126389.32	7.64	fed foc
 126401.36	14.29	fed foc
 126424.27	2.92	fed foc
 126427.90	8.18	fed foc
 126437.22	7.54	fed foc
 126454.77	11.36	fed foc
 126469.42	81.98	fed foc
 126557.06	21.04	fed foc
 126578.29	0.49	gig non
 126590.54	0.38	sql non
 126593.61	0.53	gig non
 126596.91	0.17	oth non
 126597.37	0.57	sql non
 126622.48	1.33	rum foc
 126632.93	7.77	fed foc
 126635.23	0.67	gig non
 126639.81	0.63	sql non
 126640.67	0.43	sql non
 126644.63	0.25	sql non
 126645.71	0.24	sql non
 126646.87	0.41	oth non
 126650.17	0.21	oth non
 126650.70	0.19	oth non
 126653.88	10.90	fed foc
 126657.06	7.15	nnf - faint non calls masked by KNIN fd
 126669.27	1.42	rum foc
 126687.91	1.30	rum foc
 126703.38	3.92	fed foc
 126720.02	1.21	str cub non
 126728.68	0.34	oth non
 126729.90	0.38	grn foc
 126740.62	0.53	gig non
 126741.97	34.86	fed foc
 126751.50	0.40	gig non
 126752.34	0.27	oth non
 126773.91	0.15	oth non
 126808.79	0.49	gig non
 126813.88	0.39	sql non
 126860.19	2.18	gig cub non
 126874.95	7.87	fed ? foc
 126883.44	29.14	fed ? foc
 126922.65	0.96	sql non
 126923.70	0.15	oth non
 126942.58	0.32	sql cub non
 126944.20	0.21	sql cub non
 126944.79	0.16	oth non
 126945.32	0.29	sql cub non
 126946.59	31.01	fed ? foc
 126994.26	0.68	grn non
 126995.73	2.26	str cub non
 126998.08	0.30	oth non
 126999.86	0.83	oth non
 127001.14	0.87	gig non
 127007.25	0.88	str cub non
 127015.12	1.26	rum foc
 127026.11	1.05	rum ? non
 127030.27	0.42	grn foc
 127072.20	0.22	sql non
 127086.76	1.64	str cub non
 127094.44	0.73	grn foc
 127097.25	0.89	oth non
 127103.57	0.43	sql cub non
 127106.10	0.29	oth non
 127106.57	1.54	gig cub non
 127106.88	0.76	gwl non
 127108.49	0.64	gwl non
 127109.83	0.65	gwl non
 127111.74	0.53	gig non
 127112.12	0.55	sql cub non
 127112.96	0.75	sql cub non
 127114.26	0.80	sql cub non
 127116.29	1.78	seq[sql + gig] cub non
 127132.72	0.40	sql ? cub non
 127156.14	0.38	gig cub non
 127194.16	0.82	seq[sql + gig] non
 127195.14	0.30	sql non
 127195.77	0.50	sql non
 127209.96	0.31	sql non
 127241.17	0.76	sql ? non
 127244.23	0.80	sql non
 127245.16	3.43	skp - non calls masked by KNIN noise
 127260.90	0.55	gwl unf
 127298.20	0.87	whp non
 127300.04	1.11	rum foc
 127300.70	0.83	whp non
 127310.07	0.90	whp non
 127312.73	0.90	whp non
 127315.23	1.17	whp non
 127412.00	0.00	eoa
