 1745995.00	0.00	soa
 1746822.50	0.30	oth non
 1746856.97	0.35	oth non
 1747199.82	0.77	gig ? unf
 1747206.23	0.71	gig non
 1747220.28	0.56	oth non
 1747348.76	0.12	oth non
 1747349.30	0.56	sql non
 1747350.20	0.12	oth non
 1747355.90	0.48	gig non
 1747356.84	0.42	oth foc
 1747357.70	1.38	rum foc
 1747362.17	0.55	sql non
 1747369.30	0.34	oth non
 1747372.38	0.10	oth non
 1747373.76	0.58	oth non
 1747375.89	0.37	sql ? non
 1747376.43	0.15	oth non
 1747380.10	0.33	sql ? non
 1747380.82	0.42	oth non
 1747387.31	0.55	sql ? non
 1747390.13	1.60	sql non
 1747392.95	0.78	oth non
 1747395.22	0.13	oth non
 1747395.88	0.09	oth non
 1747397.52	0.95	gig non
 1747399.14	0.12	oth non
 1747399.66	0.12	oth non
 1747402.05	0.16	oth non
 1747403.66	0.26	sql ? non
 1747406.82	0.52	sql unf
 1747407.97	0.26	oth non
 1747408.77	1.69	rum foc
 1747415.41	0.96	str cub non
 1747417.68	0.43	gig ? non
 1747419.63	0.48	oth non
 1747422.10	0.37	oth non
 1747422.54	0.73	sql non
 1747425.36	0.18	oth non
 1747426.55	0.35	oth non
 1747428.75	0.19	oth non
 1747431.15	0.37	oth non
 1747433.59	0.32	oth non
 1747433.98	1.09	oth non
 1747437.36	1.59	str cub non
 1747439.21	0.36	unk
 1747440.93	1.06	rum foc
 1747442.06	0.13	oth non
 1747442.43	1.92	sql non
 1747444.61	0.08	oth non
 1747447.24	0.67	str cub non
 1747448.62	0.51	sql non
 1747450.09	0.38	oth non
 1747451.53	0.28	sql non
 1747452.22	0.26	oth non
 1747452.52	0.42	oth non
 1747452.81	0.58	str ? cub non
 1747453.63	0.22	oth non
 1747454.56	0.09	oth non
 1747454.98	0.55	oth non
 1747456.54	1.64	sql unf
 1747458.22	1.11	gig unf
 1747459.37	0.95	whp unf
 1747460.87	0.43	sql unf
 1747461.30	1.14	oth unf
 1747463.01	0.38	gig non
 1747463.80	0.08	oth non
 1747464.20	0.17	oth unf
 1747464.56	0.48	oth non
 1747465.33	0.17	oth non
 1747466.67	1.55	oth non
 1747468.62	0.76	sql non
 1747470.93	0.58	sql non
 1747471.71	0.86	gig ? non
 1747474.77	0.30	oth non
 1747475.41	0.14	oth non
 1747478.19	0.88	oth non
 1747482.82	1.33	rum ? non
 1747630.62	0.25	oth non
 1747795.00	0.00	eoa
