 127821.00	0.00	soa
 127857.54	0.31	oth non
 127859.08	1.21	sql non
 127861.38	0.23	oth non
 127862.25	0.60	gig non
 127863.04	0.24	oth non
 127863.44	0.69	gig non
 127866.17	0.30	oth non
 127867.32	0.95	oth non
 127868.58	0.61	sql non
 127869.54	0.35	sql non
 127870.59	0.56	sql non
 127871.86	0.70	oth non
 127873.48	0.61	gig non
 127884.65	0.70	oth non
 127891.56	0.45	oth non
 127893.06	0.44	grn non
 127896.22	0.32	grn non
 127896.72	1.97	grn foc
 127907.89	1.23	sql non
 127910.30	0.74	oth non
 127917.78	0.97	grn foc
 127918.08	2.15	sql non
 127921.25	0.27	oth non
 127923.45	0.43	sql non
 127924.18	0.65	sql non
 127925.59	0.27	oth non
 127927.18	2.05	gig non
 127932.49	0.54	sql non
 127933.68	2.17	skp barely heardable calls
 127940.46	0.80	gig non
 127942.16	0.54	oth non
 127945.87	0.19	oth foc
 127953.44	1.15	oth non
 127958.36	0.10	oth non
 127959.03	0.56	sql non
 127959.60	0.33	gwl non
 127959.92	0.55	sql non
 127960.81	1.15	gig non
 127962.98	1.08	sql non
 127963.78	0.58	oth non
 127964.69	0.26	oth non
 127966.75	0.70	sql non
 127971.91	8.89	fed ? foc
 127974.45	1.38	oth non
 127986.09	22.45	fed foc
 127986.36	0.63	sql non
 127987.08	0.37	oth non
 127991.49	0.82	oth non
 127994.51	0.95	sql non
 127998.29	0.30	oth non
 128001.61	1.05	sql non
 128006.48	0.92	oth non
 128008.39	0.31	sql non
 128008.89	17.97	fed ? foc
 128010.65	0.46	oth non
 128012.89	1.44	str cub non
 128014.38	0.56	grn non
 128014.64	0.70	str cub non
 128016.00	0.69	str cub non
 128017.34	0.64	str cub non
 128022.43	0.57	oth non
 128026.89	5.24	fed ? foc
 128027.24	0.70	gig non
 128029.57	0.29	sql non
 128031.17	0.41	oth non
 128034.77	37.87	fed foc
 128036.94	1.42	str cub non
 128039.85	0.88	sql non
 128065.62	0.49	oth foc
