 123561.00	0.00	soa
 123629.75	0.70	whp foc
 123633.01	1.08	whp foc
 123637.21	1.13	whp foc
 123641.25	1.23	whp foc
 123644.95	1.31	whp foc
 123648.71	1.35	whp foc
 123652.67	1.30	whp foc
 123656.62	1.31	whp foc
 123669.44	1.11	whp ? foc
 123679.16	0.66	whp foc
 123686.48	0.69	whp non
 123687.39	0.70	whp non
 123688.39	0.72	whp non
 123690.08	1.44	sql non
 123703.00	1.49	whp foc
 123721.83	0.99	whp foc
 123724.30	0.72	whp foc
 123726.43	0.87	whp foc
 123729.59	1.09	whp foc
 123732.89	1.18	whp foc
 123736.48	1.25	whp foc
 123739.93	1.32	whp foc
 123743.37	0.37	gig non
 123743.73	1.39	whp foc
 123745.30	0.91	whp non
 123747.17	1.11	whp non
 123747.91	1.30	whp non
 123750.48	1.27	whp non
 123752.25	1.02	whp non
 123753.69	1.81	whp non
 123755.69	1.19	whp non
 123758.02	0.73	whp non
 123758.88	0.77	gig non
 123764.82	0.97	whp foc
 123766.37	0.71	grn non
 123767.44	0.63	sql non
 123767.74	0.89	grn non
 123772.47	0.72	gig foc
 123774.11	0.61	grn foc
 123775.39	0.45	grn foc
 123781.69	0.63	grn non
 123782.92	0.57	grn non
 123785.70	0.66	grn non
 123786.63	0.62	grn non
 123787.53	0.48	grn non
 123791.66	1.12	whp non
 123792.80	0.58	grn non
 123793.93	0.81	grn non
 123795.10	0.98	whp non
 123795.23	0.45	gig non
 123814.70	0.51	whp foc
 123824.54	0.82	grn ? non
 123825.41	0.55	whp non
 123831.19	0.63	whp foc
 123832.54	0.81	grn non
 123845.58	0.99	grn foc
 123847.73	0.80	grn foc
 123853.21	0.45	gig non
 123855.74	0.71	grn foc
 123857.51	0.62	grn foc
 123866.12	1.05	whp foc
 123867.17	0.66	whp non
 123868.82	0.87	whp non
 123872.72	1.48	whp non
 123873.01	0.81	grn non
 123874.18	0.76	grn non
 123875.09	0.78	whp non
 123875.76	1.04	grn non
 123882.00	0.67	whp non
 123887.66	0.77	gig non
 123893.04	0.88	grn ? foc
 123894.41	0.87	grn ? foc
 123896.71	0.77	grn ? foc
 123900.49	0.77	whp non
 123902.84	1.25	sql non
 123905.30	1.10	whp non
 123907.74	0.56	str ? cub non
 123918.07	0.79	grn foc
 123924.14	0.55	whp non
 123928.56	0.69	whp non
 123932.45	0.45	grn non
 123933.26	0.38	whp non
 123934.03	0.33	grn non
 123934.46	0.82	whp non
 123935.64	0.46	grn non
 123935.80	0.30	whp non
 123956.39	0.77	whp foc
 123972.35	0.93	whp foc
 123977.85	0.74	whp foc
 124006.01	0.39	oth non
 124006.68	0.52	oth non
 124012.25	0.25	unk
 124012.61	0.97	whp non
 124019.25	0.47	grn foc
 124021.29	0.62	grn foc
 124023.24	0.74	grn foc
 124031.95	0.66	grn foc
 124044.68	0.43	whp non
 124056.57	0.68	oth non
 124058.08	0.46	oth non
 124059.27	0.61	oth non
 124063.70	0.46	gig foc
 124065.18	0.66	grn non
 124066.71	0.80	grn non
 124069.21	0.77	whp non
 124070.58	0.55	whp cub non ?
 124073.56	0.55	whp cub non ?
 124074.39	0.40	whp cub non ?
 124074.65	0.79	whp foc
 124091.25	0.74	whp foc
 124093.15	0.57	grn foc
 124094.92	0.65	whp non
 124097.80	0.52	grn foc
 124100.95	0.60	whp cub non ?
 124102.38	0.75	grn foc
 124103.40	0.69	whp cub non ?
 124104.61	0.56	whp non
 124106.32	0.87	grn non
 124125.72	1.09	sql non
 124127.01	0.59	whp non
 124127.60	0.33	grn foc
 124128.31	0.46	whp foc
 124129.32	0.29	unk
 124129.38	0.87	grn non
 124133.45	0.64	grn non
 124154.16	0.70	grn ? foc
 124158.92	0.60	whp non
 124162.85	0.56	grn non
 124359.13	0.61	whp non
 124362.98	0.32	gig foc
 124365.31	0.69	grn foc
 124366.08	0.32	gig foc
 124379.14	0.38	unk
 124382.21	0.67	whp non
 124413.72	0.51	gig foc
 124415.12	0.88	gig non
 124419.22	0.81	grn non
 124421.53	0.37	unk
 124424.61	0.77	whp non
 124427.46	0.62	whp foc
 124429.56	0.73	whp foc
 124431.55	0.93	whp foc
 124433.52	0.77	whp foc
 124434.98	0.75	whp foc
 124436.08	0.77	whp non
 124437.31	0.91	whp foc
 124438.54	1.18	whp non
 124439.88	0.97	whp foc
 124440.98	1.16	whp non
 124442.14	0.95	whp foc
 124443.41	1.28	whp non
 124456.39	0.66	whp non
 124458.21	0.71	whp non
 124459.36	0.35	whp non
 124461.11	0.36	grn non
 124464.88	0.68	whp non
 124470.29	0.89	whp non
 124478.73	0.41	whp non
 124492.05	0.66	grn non
 124499.37	0.89	whp non
 124526.90	1.11	grn non
 124581.02	0.00	eoa
