 796184.00	0.00	soa
 796705.00	0.71	gig non
 796730.69	0.59	oth non
 796753.53	0.45	gig non
 798141.77	0.65	str cub non
 798145.57	0.81	str cub non
 798149.23	1.75	oth non
 799765.65	2.51	prd
 799769.61	3.31	prd
 799773.41	6.84	fed foc
 799773.99	2.61	prd
 799778.09	4.28	prd 
 799782.83	2.20	fed foc
 799783.66	1.03	prd
 799786.60	4.28	prd
 799794.47	2.39	prd
 799796.31	20.66	fed foc
 799798.77	3.78	prd
 799803.52	4.75	prd
 799809.61	1.62	prd
 799812.79	1.61	prd
 799815.55	1.36	prd
 799818.20	1.70	prd
 799821.31	0.91	prd
 799824.08	0.66	prd
 799825.10	10.78	fed foc
 799832.75	0.83	prd
 799837.97	4.44	fed ? foc
 799844.10	8.41	fed ? foc
 799854.67	11.21	fed foc
 799867.04	34.89	fed foc
 799903.85	29.63	fed foc
 799940.43	15.58	fed ? foc
 799958.36	31.10	fed ? foc
 799990.79	20.82	fed foc
 800015.39	35.66	fed foc
 800051.73	16.57	fed foc
 800069.35	20.34	fed foc
 800090.10	8.19	fed ? foc
 800101.04	15.81	fed ? foc
 800118.06	0.53	oth foc
 800119.43	0.22	oth foc
 800119.91	5.47	fed foc
 800125.95	13.53	fed ? foc
 800141.46	19.15	fed ? foc
 800195.21	1.84	gig ? non
 800197.37	1.70	sql foc
 800228.28	7.90	fed ? foc
 800228.78	0.48	oth non
 800234.71	3.46	gig non
 800238.49	6.36	fed foc
 800243.58	1.07	whp non
 800247.60	10.09	fed ? foc
 800249.18	1.06	whp non
 800252.96	1.05	whp non
 800257.43	1.19	whp non
 800260.17	3.80	fed ? foc
 800263.73	1.11	whp non
 800265.68	11.76	fed ? foc
 800267.12	1.69	whp non
 800268.97	0.67	oth non
 800272.46	1.78	oth non
 800274.56	1.31	oth non
 800276.08	0.55	gig non
 800286.56	23.17	fed ? foc
 800310.61	10.96	fed ? foc
 800323.62	12.11	fed ? foc
 800338.36	8.85	fed ? foc
 800351.84	6.48	fed ? foc
 800357.26	1.20	gwl non
 800358.27	1.30	gig non
 800362.79	3.91	fed foc
 800369.09	16.16	fed foc
 800371.92	0.63	sql non
 800386.14	0.53	sql non
 800386.74	32.15	fed foc
 800389.41	0.28	oth foc
 800396.21	0.83	rum non
 800396.23	0.71	gig non
 800396.91	1.05	sql non
 800409.42	1.07	seq [gig + sql] non
 800421.05	3.05	rum non
 800434.74	8.75	fed foc
 800445.35	5.55	fed ? foc
 800451.84	17.20	fed ? foc
 800452.34	0.53	oth non
 800454.58	0.73	gig unf
 800458.05	1.09	sql non
 800470.72	17.34	fed ? foc
 800471.55	0.77	oth non
 800485.38	1.11	gig non
 800489.95	19.84	fed ? foc
 800512.85	21.74	fed ? foc
 800517.35	0.66	oth non
 800519.12	1.27	str cub non
 800521.60	2.58	str cub non
 800526.15	1.80	whp non
 800529.95	1.64	whp non
 800532.81	1.63	whp non
 800534.68	5.71	rum non
 800536.42	1.07	whp non
 800537.49	1.40	unk
 800540.39	2.24	whp non
 800542.95	7.56	fed foc
 800544.00	1.36	whp non
 800548.21	1.17	whp non
 800551.73	0.52	gig foc
 800554.41	7.68	fed foc
 800570.64	5.82	sql non
 800572.00	0.91	gig non
 800572.18	0.73	gwl non
 800573.99	1.09	gwl non
 800575.29	6.52	fed ? foc
 800581.12	0.23	oth non
 800581.96	1.36	gwl non
 800583.31	0.97	sql non
 800584.56	4.09	fed foc
 800588.17	0.95	oth non
 800589.66	0.91	gwl foc
 800590.57	0.29	sql foc
 800591.79	1.82	rum non
 800593.32	7.54	fed foc
 800611.93	4.19	fed ? foc
 800616.52	2.59	oth non
 800630.84	17.55	fed foc
 800631.81	0.91	gig unf
 800641.99	0.59	oth non
 800644.10	0.47	oth non
 800646.70	0.61	oth non
 800649.46	21.16	fed ? foc
 800650.69	0.70	oth non
 800653.69	0.63	gig non
 800658.08	0.36	oth non
 800660.71	0.21	oth unf
 800665.50	0.51	oth non
 800666.70	0.29	oth non
 800667.00	0.49	gwl non
 800668.37	0.51	oth non
 800669.39	0.72	sql unf
 800676.95	8.57	fed ? foc
 800683.88	0.96	oth unf
 800686.79	1.48	sql non
 800688.20	13.69	fed ? foc
 800689.09	1.55	rum non
 800690.86	0.67	gig non
 800692.93	0.19	oth non
 800703.49	23.83	fed foc
 800703.78	0.00	oth non
 800706.15	1.20	sql non
 800708.17	1.56	oth non
 800711.35	0.43	gig non
 800714.49	0.39	oth non
 800725.71	0.77	oth non
 800728.85	0.51	oth non
 800729.36	1.44	rum non
 800729.85	10.27	fed ? foc
 800735.39	2.55	oth non
 800762.69	16.36	fed ? foc
 800763.09	1.76	oth non
 800780.96	19.23	fed foc
 800787.67	0.75	oth non
 800795.18	0.67	oth non
 800801.47	5.19	fed foc
 800809.12	8.43	fed ? foc
 800810.49	0.47	oth non
 800820.46	19.85	fed ? foc
 800823.49	0.57	oth non
 800825.18	0.53	gwl non
 800828.74	0.28	oth non
 800832.35	0.48	oth foc
 800842.60	0.59	oth non
 800849.46	0.87	grn ? foc
 800850.89	0.81	oth non
 800852.47	0.73	oth unf
 800854.32	1.04	gwl non
 800855.37	4.01	rum non
 800874.98	4.93	fed foc
 800880.83	11.25	fed foc
 800884.11	0.63	oth non
 800893.33	8.81	fed foc
 800900.01	0.71	oth non
 800903.00	0.67	sql unf
 800903.97	0.91	grn non
 800906.26	6.87	fed ? foc
 800916.44	13.58	fed foc
 800921.46	0.64	oth non
 800930.25	0.74	grn non
 800931.03	0.91	sql non
 800933.12	10.05	fed ? foc
 800937.82	1.42	oth non
 800947.48	1.86	sql non
