 181844.00	0.00	soa
 181850.99	0.30	unk
 181868.27	0.12	oth foc
 181875.82	0.21	oth non
 181881.85	0.15	oth foc
 182043.26	0.22	oth non
 182073.81	0.26	unk
 182101.05	0.50	oth non
 182119.30	1.17	str cub non
 182121.15	0.04	oth non
 182125.71	1.07	sql non
 182127.13	1.38	sql non
 182128.55	0.78	sql non
 182130.17	0.56	sql non
 182131.70	0.27	sql non
 182133.11	1.98	sql non
 182133.62	1.29	gig non
 182135.37	0.62	gig non
 182135.47	1.07	sql non
 182139.29	0.54	sql non
 182146.08	0.83	unk
 182147.48	0.32	oth non
 182444.00	0.00	eoa
