 19410.00	0.00	soa
 19422.72	0.18	oth non
 19427.71	0.39	oth non
 19429.75	0.93	grn non
 19439.51	0.26	oth non
 19475.19	0.45	oth non
 19477.94	0.14	oth non
 19478.27	0.16	oth non
 19483.54	0.25	grn non
 19488.53	0.64	grn non
 19493.76	0.43	grn non
 19504.25	0.50	grn non
 19506.87	0.49	grn non
 19522.44	0.14	oth non
 19525.26	0.45	grn non
 19557.36	2.36	str cub non
 19561.82	1.25	str cub non
 19664.53	0.72	grn non
 19670.21	0.19	oth non
 19670.87	0.20	oth foc
 19690.11	0.49	str cub non
 19716.37	0.28	oth non
 19730.02	0.58	grn foc
 19731.37	0.12	oth foc
 19731.75	0.17	oth foc
 19737.85	0.38	oth non
 19740.27	0.59	oth unk
 19774.71	0.31	oth non
 19778.81	0.41	oth foc
 19779.96	0.32	oth unk
 19783.64	0.21	oth non
 19788.77	0.17	oth foc
 19825.50	1.05	rum foc
 19847.66	0.18	oth non
 19855.39	0.54	str cub non
 19857.07	0.48	unk
 19857.61	0.33	oth non
 19859.41	0.34	sql non
 19860.58	0.25	oth non
 19861.28	0.41	sql non
 19867.16	0.16	oth non
 19869.17	0.35	unk
 19870.85	0.70	unk
 19872.87	0.56	unk
 19876.78	0.23	oth non
 19961.79	0.31	grn non
 19988.08	0.20	oth non
 20010.00	0.00	eoa
