 462871.00	0.00	soa
 462871.37	16.37	fed foc
 462891.25	8.16	fed foc
 462901.73	6.33	fed foc
 462908.24	7.07	fed foc
 462952.12	10.03	fed foc
 462962.81	7.47	fed foc
 462973.96	11.08	fed foc
 462986.23	2.75	fed ? foc
 462990.02	9.86	fed ? foc
 463003.46	15.53	fed ? foc
 463040.62	4.31	fed ? foc
 463054.93	32.68	fed foc
 463122.26	8.16	fed ? foc
 463127.86	0.63	oth non
 463129.63	0.52	gig non
 463132.67	22.34	fed foc
 463158.29	5.17	fed foc
 463168.72	4.95	fed ? foc
 463169.46	0.45	oth foc
 463178.36	13.21	fed ? foc
 463196.22	5.12	fed foc
 463220.82	0.43	oth foc
 463222.64	1.45	fed ? foc
 463224.37	0.38	oth foc
 463230.48	0.40	oth unf
 463265.19	0.43	oth unf
 463265.70	0.89	gig non
 463268.94	0.71	oth non
 463270.43	0.21	oth non
 463272.48	0.88	oth non
 463277.11	0.61	oth unf
 463313.07	0.49	oth non
 463316.37	0.78	oth non
 463318.36	0.26	oth non
 463327.02	18.81	fed foc
 463349.04	4.74	fed foc
 463355.27	4.92	fed ? foc
 463382.27	5.70	fed ? foc
 463431.06	4.78	fed ? foc
 463453.64	10.24	fed ? foc
 463469.53	0.00	eoa
