 1653151.03	0.00	soa
 1653158.82	0.38	oth non
 1653407.54	0.53	oth non
 1653410.45	0.74	oth non
 1653412.26	0.59	oth non
 1653413.78	0.97	gig foc
 1653414.87	0.61	sql non
 1653415.49	1.07	sql non
 1653417.25	0.79	sql non
 1653421.57	29.30	fed ? foc
 1653422.39	0.55	oth non
 1653425.89	0.42	oth non
 1653430.67	0.60	oth non
 1653435.98	0.57	sql non
 1653440.13	0.50	oth non
 1653440.99	0.78	sql non
 1653445.92	0.34	oth unf
 1653450.90	0.28	oth non
 1653451.42	0.43	oth non
 1653452.18	1.60	sql unf
 1653454.91	0.49	oth non
 1653455.52	0.23	oth non
 1653456.28	23.92	fed foc
 1653456.49	1.06	oth non
 1653458.49	0.22	oth foc
 1653458.73	1.09	sql cub non
 1653460.60	0.95	oth non
 1653463.06	0.60	sql non
 1653464.51	0.85	sql non
 1653465.31	1.12	gig non
 1653467.05	0.48	oth non
 1653468.01	0.64	oth non
 1653471.52	0.62	oth non
 1653475.79	0.37	oth non
 1653476.27	0.67	sql non
 1653477.23	0.49	sql non
 1653478.33	1.19	sql non
 1653479.70	0.51	sql non
 1653480.48	1.40	sql non
 1653482.40	1.68	seq [sql + gig] non
 1653484.50	0.81	sql non
 1653485.91	0.30	oth non
 1653486.39	0.84	oth non
 1653488.23	0.44	oth non
 1653489.55	0.33	oth non
 1653490.98	2.73	gig foc
 1653491.75	0.31	oth non
 1653496.52	6.88	fed foc
 1653506.78	1.00	oth non
 1653511.46	15.92	fed foc
 1653531.21	9.36	fed foc
 1653538.97	0.65	sql non
 1653539.67	0.59	sql non
 1653544.28	26.29	fed foc
 1653546.78	1.24	oth non
 1653547.79	0.61	oth non
 1653552.67	0.52	gig non
 1653556.00	0.58	gig non
 1653556.56	0.46	oth non
 1653557.59	0.71	oth non
 1653560.75	2.96	gig non
 1653561.44	0.49	oth non
 1653564.99	0.63	oth non
 1653566.86	0.57	gig non
 1653584.10	2.58	fed foc
 1653590.94	10.80	fed foc
 1653597.21	0.64	sql non
 1653602.32	1.49	gig foc
 1653604.55	0.18	oth foc
 1653613.50	0.55	sql non
 1653614.08	26.90	fed foc
 1653617.83	1.07	gig non
 1653633.40	0.66	sql non
 1653636.39	3.73	sql ? cub non
 1653640.35	0.40	oth non
 1653641.31	9.41	fed foc
 1653644.15	0.38	sql non
 1653647.91	0.45	sql non
 1653650.28	0.39	sql non
 1653655.72	7.46	fed ? foc
 1653657.75	0.69	oth non
 1653661.58	1.05	sql non
 1653663.09	0.71	gig non
 1653666.20	0.71	sql non
 1653667.90	1.46	sql non
 1653670.34	0.79	sql non
 1653671.95	0.53	sql foc
 1653672.59	0.50	grn ? foc
 1653673.66	0.61	sql non
 1653674.68	0.53	sql non
 1653675.30	0.55	gig non
 1653676.10	0.72	sql non
 1653677.24	0.39	oth non
 1653679.73	0.57	oth non
 1653688.16	1.49	rum foc
 1653696.80	0.63	sql non
 1653700.82	0.60	sql non
 1653713.94	0.75	gig non
 1653721.86	1.28	sql non
 1653723.74	0.35	oth non
 1653724.54	0.66	sql non
 1653725.51	0.93	oth non
 1653728.97	0.41	sql non
 1653740.53	0.98	oth non
 1653745.56	0.79	sql non
 1653747.22	0.44	oth non
 1653753.86	1.99	fed ? foc
 1653754.57	0.40	sql non
 1653755.25	0.63	sql non
 1653763.70	21.42	fed foc
 1653768.46	0.46	oth non
 1653769.74	1.07	sql non
 1653786.02	13.85	fed ? foc
 1653800.08	1.31	gig non
 1653801.41	0.64	sql non
 1653802.79	1.11	sql non
 1653804.17	0.65	oth non
 1653805.98	0.62	sql non
 1653806.95	0.87	sql non
 1653807.96	0.59	sql non
 1653808.52	1.52	gig non
 1653809.28	0.74	gig foc
 1653811.95	0.70	sql non
 1653813.09	0.75	sql non
 1653825.85	0.76	sql non
 1653826.98	0.53	oth non
 1653827.51	0.48	oth non
 1653832.51	1.09	fus [sql + gwl] non
 1653833.82	0.71	gwl non
 1653834.61	1.05	fus [sql + gwl] non
 1653835.81	0.90	sql non
 1653836.99	1.34	sql non
 1653838.63	1.44	sql non
 1653840.40	0.50	sql non
 1653840.99	0.25	sql non
 1653842.57	0.85	sql non
 1653844.60	0.76	sql non
 1653937.98	0.78	oth non
 1653939.58	0.43	gwl non
 1653940.03	0.85	sql non
 1653946.54	0.67	sql non
 1653957.45	0.48	sql non
 1653959.69	0.39	sql non
 1653960.18	4.57	fed ? foc
 1653972.16	0.92	oth foc
 1653973.78	0.53	gig non
 1653975.07	1.92	fed ? foc
 1654009.90	0.55	oth non
 1654080.94	7.43	fed ? foc
 1654097.41	26.20	fed foc
 1654113.48	0.65	oth non
 1654126.15	5.38	fed foc
 1654126.50	1.46	gig non
 1654129.75	0.83	oth non
 1654130.69	2.27	oth non
 1654133.24	0.70	gig non
 1654134.10	0.88	gwl foc
 1654135.39	0.21	oth foc
 1654135.61	0.55	gig non
 1654136.20	0.45	oth non
 1654137.11	1.32	gwl foc
 1654138.67	0.69	str cub non
 1654140.08	0.19	oth non
 1654140.45	0.16	oth non
 1654140.83	0.30	sql cub non
 1654142.42	2.74	rum foc
 1654146.90	0.74	rum foc
 1654147.85	0.76	oth non
 1654150.06	4.43	rum foc
 1654158.27	1.98	rum foc
 1654165.70	1.74	rum foc
 1654174.00	1.80	rum foc
 1654236.88	1.62	str cub non
 1654238.57	0.50	oth non
 1654239.32	0.41	oth non
 1654239.93	0.86	gig non
 1654248.60	1.46	rum foc
 1654249.71	0.31	sql cub non
 1654251.10	0.95	sql non
 1654252.05	0.72	oth non
 1654254.14	0.85	gig non
 1654356.22	2.35	rum foc
 1654366.88	1.23	gig ? cub non
 1654378.44	0.37	gig non
 1654379.09	0.40	oth non
 1654383.70	2.19	rum foc
 1654383.78	0.61	oth non
 1654444.88	0.39	oth non
 1654445.30	0.35	oth non
