 1746211.00	0.00	soa
 1746296.12	2.67	fed ? foc
 1746304.74	1.71	fed ? foc
 1746314.26	4.07	fed ? foc
 1746947.62	2.13	oth unf
 1746952.68	0.09	oth non
 1746953.14	0.19	oth foc
 1747144.98	0.64	sql non
 1747145.26	0.59	grn foc
 1747145.68	0.44	sql non
 1747146.58	1.29	gig non
 1747147.86	0.64	sql unf
 1747149.20	7.73	fed foc
 1747150.04	0.57	gig unf
 1747152.35	0.38	gig unf
 1747157.07	0.89	gig unf
 1747158.35	0.42	gig unf
 1747159.17	0.62	gig non
 1747160.36	0.19	oth non
 1747160.93	0.82	sql foc
 1747164.49	1.01	oth non
 1747173.70	0.12	oth unf
 1747175.63	1.71	oth non
 1747178.37	0.46	oth non
 1747181.58	0.68	oth non
 1747182.54	43.41	fed ? foc
 1747197.83	0.20	oth non
 1747210.11	0.32	gwl non
 1747215.63	0.39	oth unf
 1747221.00	0.53	oth unf
 1747226.07	4.05	seq[sql+gig] unf
 1747236.25	0.38	oth unf
 1747236.75	0.46	sql ? non
 1747237.64	0.81	sql non
 1747241.61	1.91	rum foc
 1747244.17	4.77	fed ? foc
 1747245.25	0.14	oth unf
 1747249.07	0.14	sql foc
 1747249.56	0.16	oth unf
 1747251.25	0.14	oth non
 1747253.57	3.33	gig ? unf
 1747257.59	0.12	oth foc
 1747258.62	5.58	fed ? foc
 1747261.02	0.59	oth non
 1747262.04	1.00	gwl non
 1747263.68	1.36	rum non
 1747264.78	13.47	fed foc
 1747274.94	0.34	oth non
 1747276.59	0.37	oth non
 1747280.05	4.68	gig unf
 1747285.76	2.53	skp too noisy
 1747288.46	14.28	fed ? foc
 1747292.34	0.46	oth unf
 1747294.42	0.36	sql non
 1747296.04	0.23	sql non
 1747297.04	0.14	oth unf
 1747298.79	0.48	oth unf
 1747299.67	0.10	oth non
 1747302.88	2.13	gig non
 1747304.15	27.62	fed foc
 1747305.16	0.13	oth non
 1747305.53	0.56	sql non
 1747306.09	0.67	sql non
 1747307.00	0.18	oth unf
 1747307.59	0.57	sql non
 1747308.49	0.18	oth foc
 1747312.74	0.19	oth non
 1747314.45	0.34	sql non
 1747318.63	0.31	oth non
 1747320.38	0.67	sql non
 1747321.05	0.52	gig non
 1747330.62	0.17	oth unf
 1747331.76	1.51	fed ? foc
 1747331.90	0.80	sql non
 1747334.11	0.43	sql non
 1747334.57	23.73	fed foc
 1747334.70	0.15	oth unf
 1747338.30	0.35	sql non
 1747339.13	0.41	oth non
 1747345.53	0.59	sql non
 1747348.32	1.73	sql non
 1747353.50	0.18	oth unf
 1747355.39	1.26	gig non
 1747356.13	0.10	oth non
 1747357.43	0.11	oth foc
 1747358.84	0.26	gig foc
 1747360.25	0.30	oth non
 1747361.96	0.24	sql non
 1747364.98	0.83	sql non
 1747366.23	0.32	oth non
 1747366.94	0.19	oth non
 1747368.67	0.08	oth unf
 1747371.13	69.90	fed foc
 1747372.58	0.56	gig non
 1747372.75	0.10	oth non
 1747373.54	1.10	sql non
 1747374.78	1.07	sql non
 1747377.58	1.08	sql non
 1747382.71	0.57	sql non
 1747383.73	0.12	sql non
 1747384.60	1.13	sql non
 1747387.60	0.50	sql non
 1747389.40	0.44	oth non
 1747392.06	0.18	oth non
 1747395.61	0.62	sql non
 1747396.56	0.40	gig non
 1747397.60	0.64	gig ? non
 1747400.33	0.15	oth non
 1747400.69	1.81	sql cub non
 1747405.55	0.69	sql non
 1747406.93	0.66	sql non
 1747409.70	0.54	sql non
 1747410.39	1.05	gig ? non
 1747411.99	0.10	oth non
 1747412.85	0.10	oth non
 1747413.23	0.65	sql non
 1747414.78	2.81	seq[sql + gig] non
 1747417.63	0.97	oth non
 1747419.09	0.44	sql non
 1747419.63	1.06	oth non
 1747421.39	0.24	oth non
 1747422.03	0.10	oth non
 1747422.52	0.10	oth non
 1747423.04	0.12	oth non
 1747423.66	0.10	oth non
 1747424.30	0.08	oth non
 1747426.96	0.76	sql non
 1747428.81	1.83	sql non
 1747430.09	0.08	oth non
 1747432.77	3.11	gig ? non
 1747442.35	0.52	gig foc
 1747444.54	5.23	fed foc
 1747448.95	1.05	oth non
 1747450.08	1.16	gig foc
 1747461.07	18.78	fed foc
 1747484.40	0.61	sql non
 1747485.02	0.28	gig non
 1747485.30	0.61	sql non
 1747485.65	3.80	fed foc
 1747496.68	0.12	oth non
 1747497.07	0.14	oth non
 1747497.41	0.15	oth non
 1747497.64	0.14	oth non
 1747514.11	8.68	fed foc
 1747520.28	0.17	oth unf
 1747521.26	0.89	oth non
 1747522.18	0.15	oth non
 1747523.26	1.17	gig foc
 1747528.55	0.14	oth non
 1747529.18	0.11	oth non
 1747529.63	0.07	oth non
 1747539.88	0.24	oth non
 1747541.83	0.25	oth non
 1747547.71	10.95	fed foc
 1747550.13	0.57	oth non
 1747559.49	8.00	fed foc
 1747573.45	1.22	rum unf
 1747580.97	1.45	rum foc
 1747585.42	1.31	rum foc
 1747592.19	3.36	fed ? foc
 1747598.91	2.70	rum foc
 1747606.22	1.23	rum foc
 1747611.18	6.40	fed foc
 1747626.67	1.33	rum foc
 1747676.23	0.12	oth non
 1748011.01	0.00	eoa
