 803101.00	0.00	soa
 803407.24	0.61	oth non
 803409.43	0.75	oth unf
 803411.42	0.24	oth unf
 803412.98	0.79	oth unf
 803415.24	0.63	oth unf
 803587.52	1.51	whp non
 803592.34	1.26	whp non
 803596.76	0.89	whp non
 803601.13	1.01	whp non
 803604.80	0.33	oth non
 803605.15	0.97	whp non
 803608.29	0.40	oth non
 803609.15	1.04	whp non
 803611.56	0.85	oth non
 803613.36	1.40	whp non
 803615.20	0.31	oth non
 803618.03	0.61	oth non
 803620.31	0.70	oth non
 803621.02	0.81	oth non
 803623.88	0.24	oth non
 803701.00	0.00	eoa
