 893611.00	0.00	soa
 893611.34	0.25	oth unf
 893664.07	1.51	grn foc
 893669.52	0.98	grn foc
 893734.57	0.56	oth foc
 893737.16	0.29	oth foc
 893738.35	0.10	oth non
 893791.52	0.91	whp foc
 893795.04	2.06	whp foc
 893799.66	2.20	whp foc
 893804.14	2.19	whp foc
 893808.60	2.40	whp foc
 893816.11	1.95	whp foc
 893820.59	2.14	whp foc
 893823.99	1.15	sql unf
 893826.67	4.13	sql non
 893829.76	1.04	oth non
 893831.91	1.64	oth non
 893833.56	0.89	oth non
 893834.46	2.20	sql non
 893836.60	0.63	gig non
 893836.91	1.65	sql non
 893837.61	0.95	gig non
 893838.73	4.05	sql non
 893843.09	1.45	oth non
 893845.02	0.84	oth non
 893902.57	0.43	oth non
 893906.59	2.61	oth non
 893919.85	1.14	str cub non
 894000.59	1.44	sql non
 894001.24	0.83	gig non
 894002.03	0.88	sql non
 894003.51	1.31	gig non
 894203.63	0.32	oth non
 894217.69	0.78	oth non
 894254.95	0.14	oth non
 895210.42	0.27	oth non
 895221.28	0.22	oth non
 896025.54	0.64	whp foc
 896028.68	2.26	whp foc
 896033.66	2.30	whp foc
 896038.37	2.20	whp foc
 896043.17	1.73	whp foc
 896047.31	2.54	whp foc
 896052.76	2.58	whp foc
 896058.07	2.82	whp foc
 896063.44	3.30	whp foc
 896090.08	0.68	whp non
 896094.52	1.89	whp non
 896099.50	1.81	whp non
 896104.00	1.75	whp non
 896108.48	1.81	whp non
 896113.00	2.00	whp non
 896118.25	2.02	whp non
 896123.18	1.59	whp non
 896210.83	0.72	str cub non
 896220.31	0.28	oth foc
 897376.06	1.23	grn foc
 897377.73	0.92	grn foc
 897379.34	0.74	grn foc
 897381.22	0.50	grn foc
 897383.75	0.75	grn foc
 897385.08	1.50	grn foc
 897387.46	0.70	grn foc
 897389.51	0.48	grn foc
 897391.03	0.82	grn foc
 897392.41	0.95	grn foc
 897393.87	1.01	grn foc
 897395.39	0.86	grn foc
 897405.97	0.64	grn foc
 897418.77	0.76	grn foc
 898831.38	1.49	grn foc
 898834.69	1.38	grn foc
 898836.91	0.43	sql non
 898837.48	0.64	gig non
 898837.71	1.15	grn foc
