 177990.00	0.00	soa
 178076.51	0.21	oth non
 178146.45	1.97	gig unf
 178154.06	0.75	oth non
 178175.03	0.29	oth foc
 178181.70	2.31	oth non
 178190.01	0.55	gig non
 178190.56	0.57	oth non
 178193.29	1.09	rum foc
 178195.81	0.61	grn foc
 178206.32	0.31	oth foc
 178226.63	0.30	oth foc
 178227.76	0.41	oth foc
 178243.12	3.40	sql cub non
 178253.19	0.34	oth foc
 178255.81	2.05	rum foc
 178261.31	0.96	gig non
 178263.75	0.83	gig non
 178269.15	1.72	rum non
 178283.28	1.36	str cub non
 178300.64	1.46	rum unf
 178310.16	1.45	rum foc
 178329.86	1.68	rum foc
 178338.82	1.21	rum non
 178357.22	4.33	rum foc
 178358.08	1.84	rum non
 178362.20	2.66	rum foc
 178368.08	0.81	rum non
 178369.66	1.24	rum foc
 178372.06	0.57	oth non
 178373.00	1.46	rum non
 178404.37	0.50	grn ? foc
 178405.45	1.72	rum non
 178417.79	9.43	fed ? foc
 178427.22	9.33	fed ? foc
 178436.85	6.69	fed ? foc
 178461.27	2.32	rum non
 178462.45	0.73	sql ? non
 178468.91	0.64	gig non
 178475.57	3.75	seq[oth+gig] foc
 178477.57	0.85	gig non
 178506.28	0.89	rum foc
 178508.40	1.07	sql non
 178522.82	0.73	oth foc
 178523.94	1.64	oth foc
 178534.26	0.59	sql non
 178536.15	11.00	fed ? foc
 178543.94	1.03	sql non
 178546.10	0.72	sql non
 178547.18	5.93	fed ? foc
 178550.50	0.49	sql non
 178552.58	0.41	oth non
 178553.78	3.88	fed ? foc
 178562.16	9.48	fed ? foc
 178569.15	1.00	sql non
 178570.79	0.81	oth non
 178574.91	4.26	fed ? foc
 178579.68	2.14	fed ? foc
 178588.68	9.12	fed ? foc
 178597.80	2.87	sql non
 178599.22	0.68	sql unf
 178603.10	2.42	rum foc
 178606.38	0.96	rum foc
 178623.11	0.88	rum non
 178623.79	38.09	fed ? foc
 178626.25	1.47	rum non
 178660.69	0.51	gig non
 178670.38	0.33	oth non
 178673.59	7.43	fed ? foc
 178691.84	0.45	grn ? foc
 178708.13	18.64	fed foc
 178729.85	0.33	grn unf
 178732.62	8.93	fed foc
 178736.95	0.97	rum unf
 178744.87	14.94	fed foc
 178778.28	0.62	oth foc
 178787.67	1.61	grn foc
 178790.18	2.05	grn foc
 178794.36	0.85	grn foc
 178799.44	3.21	fed foc
 178806.65	4.41	fed foc
 178816.05	0.51	oth foc
 178818.94	0.91	gig non
 178821.21	0.90	gig non
 178821.96	0.65	oth foc
 178827.90	18.37	fed foc
 178852.36	15.52	fed foc
 178875.56	15.84	fed foc
 178901.15	4.04	fed foc
 178901.47	1.32	rum non
 178905.04	2.45	rum non
 178908.12	14.49	fed foc
 178945.08	1.09	rum foc
 178946.18	1.62	sql non
 178953.11	0.72	grn ? non
 178954.51	8.65	fed ? foc
 178963.01	0.39	oth non
 178964.06	2.08	gwl unf
 178964.72	2.37	rum non
 178968.15	1.28	rum foc
 178976.43	0.67	gwl foc
 178977.96	0.38	oth foc
 179010.40	0.45	sql non
 179020.43	0.62	gig non
 179022.87	0.59	oth non
 179031.10	0.45	oth foc
 179047.18	0.33	oth non
 179058.77	9.77	fed ? foc
 179075.62	0.66	oth non
 179103.12	8.49	fed ? foc
 179144.11	0.64	str cub non
 179181.89	0.78	oth non
 179190.00	0.00	eoa
