 1139874.00	0.00	soa
 1139991.32	0.49	oth non
 1139992.25	1.62	sql non
 1140006.84	0.50	oth non
 1140011.94	1.31	str cub non
 1140016.03	1.06	oth non
 1140018.04	1.21	oth non
 1140021.99	0.46	oth non
 1140025.38	0.61	sql non
 1140025.98	0.48	sql non
 1140026.70	25.87	fed foc
 1140028.99	0.34	oth non
 1140039.46	0.55	oth non
 1140043.40	0.33	oth foc
 1140044.26	0.51	oth non
 1140045.52	1.35	oth non
 1140053.05	1.60	gig unf
 1140055.25	3.60	gig unf
 1140059.01	0.99	whp non
 1140061.64	1.00	whp non
 1140061.93	0.35	gig non
 1140063.53	0.49	sql non
 1140064.41	1.01	whp non
 1140064.51	0.89	oth non
 1140065.88	1.04	gwl non
 1140067.21	0.98	whp non
 1140068.31	0.41	sql non
 1140070.35	1.02	whp non
 1140071.52	0.68	sql non
 1140072.65	0.36	oth non
 1140074.21	0.69	whp ? non
 1140079.29	0.95	seq[sql+gig] non
 1140080.66	0.49	oth non
 1140085.36	0.65	sql non
 1140086.43	1.00	sql non
 1140087.45	0.90	gig non
 1140088.90	3.57	seq[sql+gig] non
 1140091.29	7.77	fed foc
 1140092.73	1.51	gig non
 1140099.17	0.79	sql unf
 1140099.80	0.29	oth non
 1140100.48	5.11	gig unf
 1140105.59	0.88	oth unf
 1140106.57	0.81	grn foc
 1140106.81	1.46	sql cub non
 1140107.38	0.69	whp ? non
 1140108.85	2.34	gig unf
 1140112.32	1.57	whp ? non
 1140114.92	0.75	whp non
 1140116.89	1.09	whp non
 1140118.08	0.81	oth non
 1140118.87	1.06	whp non
 1140119.10	7.75	fed foc
 1140120.16	0.73	oth non
 1140120.92	0.62	oth non
 1140121.54	0.86	whp non
 1140123.77	0.91	whp non
 1140126.38	0.98	whp non
 1140128.82	1.03	whp non
 1140130.12	16.83	fed foc
 1140132.06	0.98	whp non
 1140134.38	1.60	oth non
 1140150.87	58.51	fed foc
 1140160.53	0.99	sql non
 1140163.45	1.11	oth non
 1140165.59	0.77	oth foc
 1140174.67	1.00	gig non
 1140176.76	0.67	oth non
 1140177.43	0.76	grn non
 1140200.57	2.06	sql non
 1140205.48	1.68	gig non
 1140207.54	0.40	oth non
 1140208.67	0.41	oth non
 1140212.16	0.47	oth non
 1140212.79	0.93	sql non
 1140213.71	46.35	fed foc
 1140214.62	0.59	gig non
 1140216.32	1.26	sql non
 1140220.31	1.38	sql non
 1140222.64	0.95	sql non
 1140222.78	0.69	grn non
 1140223.92	1.01	grn non
 1140224.46	0.67	sql non
 1140227.28	0.37	sql non
 1140229.82	0.24	oth non
 1140232.92	0.27	oth non
 1140236.52	2.65	seq[sql+gig] non
 1140241.79	0.39	oth non
 1140256.36	0.54	oth non
 1140257.54	0.42	oth foc
 1140261.28	0.91	whp cub non
 1140261.31	15.67	fed foc
 1140262.91	1.11	whp cub non
 1140264.62	0.51	whp cub non
 1140266.64	0.99	whp cub non
 1140268.29	0.78	whp cub non
 1140269.57	0.95	whp cub non
 1140271.06	0.95	whp cub non
 1140272.32	1.08	whp cub non
 1140273.99	1.13	whp cub non
 1140275.62	1.15	whp cub non
 1140279.11	0.58	sql non
 1140280.03	0.87	sql non
 1140280.89	14.33	fed foc
 1140281.57	0.68	oth non
