 1649477.84	0.00	SOA
 1652594.72	0.55	oth foc
 1652961.22	0.92	grn foc
 1652964.52	1.02	grn foc
 1652973.23	0.89	grn foc
 1652982.26	1.27	grn foc
 1652986.05	0.71	grn foc
 1653008.64	0.77	grn foc
 1653262.22	0.98	grn foc
 1653266.04	0.72	str cub non
 1653268.13	8.68	fed ? foc
 1653273.56	0.77	str cub non
 1653276.83	66.70	fed foc
 1653322.82	1.13	oth non
 1653325.06	0.87	oth foc
 1653333.43	0.65	oth non
 1653343.88	27.77	fed foc
 1653348.52	0.69	gig non
 1653371.72	1.13	sql cub non
 1653373.22	0.59	oth foc
 1653373.95	12.44	fed foc
 1653375.53	0.44	oth non
 1653377.40	0.33	oth non
 1653384.01	0.40	oth non
 1653389.64	0.18	oth foc
 1653390.43	0.50	oth foc
 1653393.14	7.94	fed foc
 1653395.22	0.78	oth unf
 1653402.21	3.35	sql non
 1653406.33	0.80	rum non
 1653407.27	32.10	fed foc
 1653409.70	0.67	oth non
 1653423.40	0.75	gig non
 1653428.42	0.51	sql non
 1653438.30	0.53	oth non
 1653439.55	1.79	sql foc
 1653442.12	4.11	fed foc
 1653442.32	5.53	sql non
 1653446.67	0.71	grn foc
 1653447.99	1.33	sql non
 1653449.55	1.09	rum non
 1653450.27	2.35	sql non
 1653452.20	7.78	fed foc
 1653463.45	3.98	fed foc
 1653465.93	0.97	sql non
 1653467.21	2.38	sql non
 1653469.86	2.82	sql non
 1653470.19	3.66	fed foc
 1653473.31	1.55	sql non
 1653476.19	60.60	fed foc
 1653479.29	0.65	sql non
 1653496.79	1.35	gig non
 1653538.00	0.80	gig non
 1653538.82	0.40	oth non
 1653539.44	0.42	oth non
 1653539.73	11.80	fed foc
 1653548.28	2.79	gig non
 1653569.33	6.25	fed foc
 1653579.67	8.64	fed foc
 1653588.28	0.73	grn foc
 1653589.04	0.69	oth non
 1653589.72	0.99	gig non
 1653604.64	0.57	sql non
 1653605.22	1.15	gig non
 1653609.98	17.49	fed foc
 1653619.70	0.36	sql non
 1653620.90	0.41	sql non
 1653623.69	3.14	sql non
 1653627.76	8.62	fed ? foc
 1653631.55	0.65	sql non
 1653635.47	0.46	sql non
 1653637.51	0.63	sql non
 1653642.30	0.56	sql non
 1653643.74	1.19	gig non
 1653645.12	0.74	oth non
 1653646.77	0.59	oth non
 1653646.81	7.18	fed foc
 1653647.93	0.45	oth non
 1653649.01	1.03	sql non
 1653653.61	0.65	sql non
 1653655.16	0.71	sql non
 1653657.47	1.45	sql non
 1653659.36	0.53	gwl non
 1653659.95	0.65	gwl non
 1653661.08	0.71	gig non
 1653662.21	0.39	sql ? non
 1653663.60	0.48	oth non
 1653664.17	10.43	fed foc
 1653680.38	8.00	fed ? foc
 1653699.46	2.77	gig foc
 1653708.99	1.66	whp non
 1653711.19	0.43	oth non
 1653711.81	0.78	oth non
 1653712.94	0.51	oth non
 1653713.41	0.59	oth non
 1653713.58	17.36	fed foc
 1653716.31	1.74	oth non
 1653725.14	0.36	oth non
 1653725.93	0.30	oth non
 1653728.02	0.85	oth non
 1653733.02	0.76	sql non
 1653733.92	0.34	oth non
 1653734.54	0.63	oth non
 1653740.21	0.85	oth non
 1653741.75	0.60	sql non
 1653755.72	0.73	oth non
 1653757.06	1.33	sql non
 1653758.58	1.60	sql non
 1653787.43	1.35	gig non
 1653788.79	0.76	oth non
 1653790.22	1.03	sql non
 1653793.50	0.58	sql non
 1653794.39	0.74	sql non
 1653795.31	0.67	sql non
 1653795.91	1.52	gig non
 1653796.36	0.48	gig foc
 1653799.18	0.89	sql non
 1653800.40	0.56	grn foc
 1653800.86	0.64	sql non
 1653813.17	0.94	sql non
 1653814.47	1.73	oth non
 1653819.86	0.99	sql unf
 1653820.85	0.93	gwl unf
 1653821.99	1.45	gig non
 1653822.00	1.01	sql unf
 1653823.20	0.96	sql unf
 1653824.36	1.53	sql non
 1653826.00	1.43	sql non
 1653827.68	0.49	sql non
 1653828.29	0.59	sql non
 1653830.02	0.91	sql non
 1653831.86	0.74	sql non
 1653872.87	0.73	sql non
 1653887.13	1.15	gig non
 1653890.09	0.49	sql non
 1653895.07	0.33	gig non
 1653896.24	1.49	sql non
 1653898.63	1.28	grn foc
 1653905.07	0.71	gig non
 1653916.23	0.37	gig non
 1653925.24	0.89	gig non
 1653926.84	0.59	gwl non
 1653927.40	0.96	sql non
 1653929.45	0.70	gig non
 1653933.81	0.78	sql non
 1653944.85	0.51	sql non
 1653947.04	0.51	sql non
 1653958.25	1.09	oth non
 1654195.76	0.33	oth non
 1654197.98	0.49	str cub non
 1654198.60	0.83	grn foc
 1654202.58	0.39	oth non
 1654227.56	0.63	gig non
 1654238.52	0.84	str cub non
 1654241.57	0.83	str cub non
 1654243.40	0.85	unk
 1654244.38	0.71	str cub non
 1654253.63	0.69	gig non
 1654435.17	0.94	gig non
 1656677.78	0.00	EOA
