 644359.83	0.00	soa
 645200.47	18.41	hnt
 645216.52	0.53	prd
 645217.50	0.28	prd
 645218.61	3.99	prd
 645225.03	0.97	prd
 645226.91	1.96	prd
 645227.49	7.84	fed foc
 645229.69	0.78	prd
 645231.59	0.81	prd
 645232.57	1.16	prd
 645234.98	0.95	prd
 645237.87	0.73	prd
 645239.93	0.18	prd
 645241.05	2.07	prd
 645243.83	1.85	prd
 645248.56	2.04	prd
 645251.13	9.93	fed foc
 645251.64	0.71	prd
 645254.02	0.86	prd
 645256.35	0.39	prd
 645262.37	9.41	fed foc
 645263.56	2.34	prd
 645267.15	0.53	prd
 645269.17	1.68	prd
 645273.04	0.51	prd
 645274.87	0.25	prd
 645275.67	0.17	prd
 645275.95	0.87	prd
 645279.23	0.56	prd
 645287.70	30.74	fed foc
 645301.26	0.34	prd
 645320.04	34.01	fed foc
 645324.92	0.37	prd
 645326.89	0.15	prd
 645331.62	0.62	prd
 645333.32	0.70	prd
 645338.86	0.29	prd
 645356.23	13.25	fed foc
 645371.03	10.16	fed foc
 645381.78	32.78	fed foc
 645415.66	15.17	fed foc
 645433.03	61.27	fed foc
 645499.89	39.08	fed foc
 645543.50	15.82	fed foc
 645560.24	19.98	fed foc
 645580.21	0.77	oth non
 645580.98	28.49	fed foc
 645588.20	0.46	oth non
 645591.06	0.41	oth non
 645612.28	1.49	seq[grn + sql] non
 645615.07	0.35	oth unf
 645615.90	6.73	fed foc
 645622.63	0.81	sql unf
 645623.47	11.34	fed foc
 645637.02	66.63	fed foc
 645705.58	45.25	fed foc
 645753.02	12.70	fed foc
 645765.78	0.46	oth non
 645766.87	0.16	oth non
 645767.66	0.93	oth non
 645769.96	0.86	sql unf
 645771.03	0.51	sql unf
 645781.26	14.63	fed foc
 645784.03	0.17	oth foc
 645796.79	10.41	fed foc
 645811.81	72.18	fed foc
 645885.22	14.59	fed foc
 645925.18	1.68	fed foc
 645930.85	8.47	fed foc
 645940.25	22.22	fed foc
 645962.97	22.66	fed foc
 645995.09	17.33	fed foc
 646013.94	14.27	fed foc
 646045.16	0.82	sql non
 646046.68	0.97	seq[sql + gig] non
 646057.83	0.88	grn non
 646059.59	0.99	grn non
 646060.89	0.58	sql non
 646061.74	0.71	sql non
 646072.24	0.53	sql foc
 646074.25	22.98	fed foc
 646098.14	18.01	fed foc
 646164.15	44.20	fed foc
 646209.72	3.24	fed foc
 646450.44	1.02	whp foc
 646454.19	2.18	whp foc
 646458.49	2.22	whp foc
 646462.64	2.16	whp foc
 646466.96	2.22	whp foc
 646471.39	2.04	whp foc
 646475.76	2.14	whp foc
 646479.78	2.26	whp foc
 646484.03	2.10	whp foc
 646487.95	2.02	whp foc
 646491.62	2.22	whp foc
 646514.99	0.00	eoa
