 1746255.00	0.00	SOA
 1747125.79	0.64	grn foc
 1747179.77	0.49	grn foc
 1747183.10	1.21	gig foc
 1747185.10	0.82	gig foc
 1747186.39	0.25	oth foc
 1747187.12	0.18	oth foc
 1747187.86	0.40	oth foc
 1747188.41	1.07	gig foc
 1747189.62	0.32	sql non
 1747190.62	0.15	oth foc
 1747191.05	0.79	sql non
 1747191.99	0.17	sql foc 
 1747192.57	0.57	gig foc
 1747193.36	0.41	gig foc
 1747195.78	1.10	gig foc
 1747197.90	13.28	fed foc
 1747200.97	0.11	oth foc
 1747201.17	0.15	oth foc
 1747201.58	1.08	gig foc
 1747204.45	0.15	oth foc
 1747207.90	1.87	gig unf
 1747216.90	19.86	fed foc
 1747237.51	16.01	fed foc
 1747253.81	0.69	gig foc
 1747254.75	60.10	fed foc
 1747259.63	0.17	oth non
 1747261.05	0.32	oth foc
 1747265.09	0.14	oth foc
 1747267.49	0.78	oth non
 1747269.93	0.44	sql non
 1747270.37	0.27	sql non
 1747270.77	0.15	sql non
 1747271.05	0.17	sql non
 1747271.56	0.23	sql non
 1747271.97	1.68	seq[sql+gig] non
 1747280.17	0.53	sql foc
 1747281.32	0.47	sql non
 1747289.05	0.17	oth foc
 1747292.45	0.18	oth foc
 1747292.82	0.19	oth foc
 1747293.38	0.13	oth foc
 1747295.02	0.20	oth foc
 1747297.14	0.67	gig foc
 1747297.88	2.59	gig foc
 1747298.41	0.85	gig non
 1747304.51	0.87	gwl ? non
 1747306.39	0.42	gwl ? non
 1747317.93	0.66	rum foc
 1747318.84	0.21	sql non
 1747319.72	4.69	fed ? foc
 1747320.47	0.55	sql non
 1747323.75	1.51	gig non
 1747325.54	0.91	gig non
 1747326.71	0.14	oth foc
 1747327.42	0.11	oth foc
 1747328.29	2.74	gig foc
 1747332.11	14.47	fed foc
 1747338.28	0.37	sql non
 1747342.01	1.31	gig non
 1747346.71	0.53	gig non
 1747347.31	0.64	gig non
 1747348.55	1.19	sql non
 1747350.81	0.17	oth non
 1747351.29	0.69	sql non
 1747352.30	0.16	oth non
 1747357.93	0.61	oth non
 1747375.75	0.72	sql non
 1747376.84	0.65	sql non
 1747377.95	0.82	sql non
 1747383.05	0.26	oth non
 1747389.45	0.48	sql non
 1747391.18	0.13	oth non
 1747392.20	1.97	sql non
 1747395.06	0.39	oth non
 1747396.79	0.14	oth non
 1747397.27	0.23	oth non
 1747397.83	0.31	oth non
 1747399.17	1.40	gig non
 1747399.85	1.49	oth non
 1747402.13	0.12	oth foc
 1747402.72	0.52	gig foc
 1747408.86	0.85	sql non
 1747410.05	0.16	oth non
 1747421.42	0.88	sql non
 1747424.85	0.45	sql non
 1747449.28	0.91	gig non
 1747450.76	0.56	sql non
 1747454.70	0.84	gig non
 1747457.02	0.59	oth non
 1747458.68	1.58	sql non
 1747460.26	1.18	gig non
 1747461.45	0.96	oth non
 1747462.93	0.39	sql non
 1747463.45	0.47	oth non
 1747464.11	0.49	oth non
 1747465.17	0.24	oth non
 1747470.80	0.74	sql non
 1747472.91	1.64	gig non
 1747476.52	3.19	gig non
 1747486.10	0.55	gig non
 1747493.87	1.15	gig non
 1747507.00	0.20	sql non
 1747534.01	1.20	rum foc
 1747567.10	1.40	gig non
 1747615.27	2.21	rum foc
 1748055.01	0.00	EOA
