 641055.00	0.00	soa
 641514.21	0.54	whp non
 641516.84	1.21	whp non
 641517.82	0.50	grn foc
 641520.30	1.40	whp non
 641523.57	0.49	oth foc
 641524.10	0.98	whp non
 641525.23	0.98	whp foc
 641526.88	1.41	whp non
 641528.06	1.56	whp foc
 641530.19	0.91	whp non
 641531.06	1.54	whp foc
 641534.20	1.56	whp foc
 641537.53	1.62	whp foc
 641540.58	1.72	whp foc
 641542.15	1.21	whp non
 641543.57	1.68	whp foc
 641546.68	1.51	whp foc
 641549.86	1.70	whp foc
 641553.93	1.59	whp foc
 642255.01	0.00	eoa
