"tag","tag_time","wav_time","utc_time","duration","label","audit_number","labeler","wav_file","audit_file","time"
"cc23_STRM",1835355,20882.3611250001,2023-01-22 19:45:00,0,"soa","235","VD","cc23_STRM072.wav","cc23_STRM_aud_VD_235_finished.txt",20882.3611250001
"cc23_STRM",1835609.19,21136.551125,2023-01-22 19:49:15,1.2,"whp foc","235","VD","cc23_STRM072.wav","cc23_STRM_aud_VD_235_finished.txt",21136.551125
"cc23_STRM",1835612.57,21139.9311250001,2023-01-22 19:49:18,1.58,"whp foc","235","VD","cc23_STRM072.wav","cc23_STRM_aud_VD_235_finished.txt",21139.9311250001
"cc23_STRM",1835616.19,21143.551125,2023-01-22 19:49:22,1.71,"whp foc","235","VD","cc23_STRM072.wav","cc23_STRM_aud_VD_235_finished.txt",21143.551125
"cc23_STRM",1835619.58,21146.9411250001,2023-01-22 19:49:25,1.79,"whp foc","235","VD","cc23_STRM072.wav","cc23_STRM_aud_VD_235_finished.txt",21146.9411250001
"cc23_STRM",1835622.92,21150.281125,2023-01-22 19:49:28,1.74,"whp foc","235","VD","cc23_STRM072.wav","cc23_STRM_aud_VD_235_finished.txt",21150.281125
"cc23_STRM",1835626.36,21153.7211250002,2023-01-22 19:49:32,1.81,"whp foc","235","VD","cc23_STRM072.wav","cc23_STRM_aud_VD_235_finished.txt",21153.7211250002
"cc23_STRM",1835629.83,21157.1911250001,2023-01-22 19:49:35,1.94,"whp foc","235","VD","cc23_STRM072.wav","cc23_STRM_aud_VD_235_finished.txt",21157.1911250001
"cc23_STRM",1835633.48,21160.841125,2023-01-22 19:49:39,1.85,"whp foc","235","VD","cc23_STRM072.wav","cc23_STRM_aud_VD_235_finished.txt",21160.841125
"cc23_STRM",1835637.16,21164.521125,2023-01-22 19:49:43,1.75,"whp foc","235","VD","cc23_STRM072.wav","cc23_STRM_aud_VD_235_finished.txt",21164.521125
"cc23_STRM",1835640.87,21168.2311250002,2023-01-22 19:49:46,1.6,"whp foc","235","VD","cc23_STRM072.wav","cc23_STRM_aud_VD_235_finished.txt",21168.2311250002
"cc23_STRM",1835749.63,21276.9911249999,2023-01-22 19:51:35,0.52,"grn foc","235","VD","cc23_STRM072.wav","cc23_STRM_aud_VD_235_finished.txt",21276.9911249999
"cc23_STRM",1835783.73,21311.091125,2023-01-22 19:52:09,0.22,"oth non","235","VD","cc23_STRM072.wav","cc23_STRM_aud_VD_235_finished.txt",21311.091125
"cc23_STRM",1835784.18,21311.541125,2023-01-22 19:52:10,0.27,"oth non","235","VD","cc23_STRM072.wav","cc23_STRM_aud_VD_235_finished.txt",21311.541125
"cc23_STRM",1835785.94,21313.301125,2023-01-22 19:52:11,0.82,"oth foc","235","VD","cc23_STRM072.wav","cc23_STRM_aud_VD_235_finished.txt",21313.301125
"cc23_STRM",1835788.61,21315.9711250002,2023-01-22 19:52:14,0.51,"oth foc","235","VD","cc23_STRM072.wav","cc23_STRM_aud_VD_235_finished.txt",21315.9711250002
"cc23_STRM",1835789.14,21316.501125,2023-01-22 19:52:15,0.27,"gig non","235","VD","cc23_STRM072.wav","cc23_STRM_aud_VD_235_finished.txt",21316.501125
"cc23_STRM",1835789.44,21316.801125,2023-01-22 19:52:15,0.81,"oth foc","235","VD","cc23_STRM072.wav","cc23_STRM_aud_VD_235_finished.txt",21316.801125
"cc23_STRM",1835794.36,21321.7211250002,2023-01-22 19:52:20,0.73,"grn foc","235","VD","cc23_STRM072.wav","cc23_STRM_aud_VD_235_finished.txt",21321.7211250002
"cc23_STRM",1835818.84,21346.2011250001,2023-01-22 19:52:44,0.71,"grn foc","235","VD","cc23_STRM072.wav","cc23_STRM_aud_VD_235_finished.txt",21346.2011250001
"cc23_STRM",1835821.5,21348.8611250001,2023-01-22 19:52:47,0.7,"grn foc","235","VD","cc23_STRM072.wav","cc23_STRM_aud_VD_235_finished.txt",21348.8611250001
