 640794.99	0.00	soa
 640796.92	0.93	oth non
 641136.75	0.99	sql ? non
 641276.97	1.13	grn non
 641419.19	1.50	grn unf
 641421.70	1.28	grn unf
 641423.90	0.69	whp unf
 641426.56	1.39	whp unf
 641430.54	1.48	whp unf
 641434.00	1.60	whp unf
 641437.95	1.76	whp unf
 641442.01	1.92	whp unf
 641446.53	2.20	whp unf
 641451.33	2.68	whp unf
 641487.78	0.82	grn unf
 641492.36	0.96	grn unf
 641702.94	0.85	grn unf
 641706.52	0.95	grn unf
 641851.11	0.45	grn unf
 641852.52	0.49	grn unf
 641942.99	0.45	grn foc
 641950.25	0.35	grn foc
 642058.67	0.85	grn non
 642185.90	1.65	grn foc
 642188.98	0.91	grn foc
 642190.79	1.04	grn foc
 642195.39	0.56	grn unf
 642200.45	0.55	grn unf
 642201.49	0.73	grn unf
 642212.72	1.11	grn non
 642223.34	1.68	grn non
 642225.90	0.61	grn non
 642235.72	1.30	grn unf
 642238.23	1.20	grn unf
 642240.70	1.40	grn unf
 642243.71	1.13	grn unf
 642247.08	0.96	grn unf
 642644.95	1.42	grn foc
 642648.05	0.81	grn non
 642655.32	0.37	unk
 642871.83	0.42	grn non
 642874.87	0.45	grn unf
 642878.75	0.47	grn unf
 642951.89	0.99	grn non
 643021.21	1.01	grn foc
 643023.57	0.87	grn foc
 643024.88	0.97	grn foc
 643026.56	1.11	grn foc
 643027.97	0.62	grn foc
 643029.15	0.90	grn foc
 643033.75	0.66	grn foc
 643035.08	0.95	grn foc
 643040.56	0.96	grn foc
 643374.44	1.48	grn foc
 643377.02	0.95	grn foc
 643379.16	0.96	grn foc
 643385.47	0.65	grn foc
 643388.34	1.03	grn foc
 643392.78	0.99	grn foc
 643395.81	1.15	grn foc
 643440.46	1.57	grn foc
 643450.27	1.31	grn foc
 643452.41	0.94	grn foc
 643454.61	1.30	grn foc
 643457.05	1.35	grn foc
 643459.31	1.53	grn foc
 643473.29	1.74	grn foc
 643504.71	1.43	grn foc
 643506.89	1.44	grn foc
 643509.08	1.55	grn foc
 643511.44	1.15	grn foc
 643524.48	1.80	grn foc
 643616.65	1.43	grn unf
 643958.99	2.90	gig non
 643961.96	1.92	sql non
 643963.83	2.04	sql non
 643964.99	2.04	gig non
 643967.54	0.49	gig non
 643968.27	0.94	sql ? non
 643968.84	0.37	gig non
 643972.39	0.55	gig ? non
 643974.20	0.51	gig ? non
 643982.46	0.49	oth non
 643996.15	0.41	gig ? non
 644078.55	0.67	gig unf
 644079.22	0.51	oth unf
 644152.03	0.29	oth non
 644169.41	0.55	unk
 644171.80	0.63	unk
 644178.06	0.57	gig non
 644180.00	0.85	unk
 644310.81	1.16	grn foc
 644386.51	1.17	grn foc
 647321.56	1.30	grn ? unf
 647324.74	0.85	whp foc
 647328.38	1.62	whp foc
 647332.42	1.58	whp foc
 647336.23	2.28	whp foc
 647341.03	2.39	whp foc
 647346.02	2.22	whp foc
 647350.88	2.30	whp foc
 647355.99	2.64	whp foc
 647441.46	0.95	grn foc
 647454.92	1.42	grn foc
 647458.11	0.58	grn foc
 647483.30	0.65	grn foc
 647489.07	0.81	grn foc
 647496.90	0.89	gig ? non
 647501.65	0.40	grn foc
 647511.01	1.44	gig ? non
 647512.88	0.87	oth non
 647517.61	0.66	oth non
 647520.80	0.76	oth non
 647524.75	1.07	oth non
 647527.96	1.04	oth non
 647529.41	3.01	oth non
 647530.42	0.98	oth non
 647534.53	1.03	oth non
 647537.12	1.07	oth non
 647540.01	1.18	oth non
 647541.19	2.03	oth non
 647553.41	2.24	grn foc
 647556.02	0.94	oth non
 647560.82	0.75	oth non
 647606.56	1.46	grn foc
 647609.58	0.96	oth non
 647613.79	0.56	grn foc
 647625.80	0.27	oth non
 647626.06	0.33	grn ? non
 647628.76	3.04	grn unf
 647633.28	0.38	oth unf
 647635.21	2.65	oth unf
 647635.24	2.36	oth unf
 647639.09	2.35	oth unf
 647641.44	0.91	oth unf
 647644.22	2.71	oth unf
 647646.46	1.74	oth unf
 647655.97	3.52	oth unf
 647664.69	0.57	oth foc
 647681.93	4.11	grn ? foc
 647689.88	0.79	grn non
 647708.96	2.67	grn ? foc
 647714.34	4.75	grn ? foc
 647751.83	1.65	grn foc
 647757.19	2.70	grn foc
 647762.23	1.17	grn foc
 647789.08	1.44	grn foc
 647801.40	1.07	grn foc
 647860.05	0.69	oth non
 647867.43	1.73	oth non
 647870.89	0.89	oth non
 647877.84	1.56	oth non
 647885.44	0.30	oth non
 647892.20	0.91	oth non
 647894.47	1.48	oth non
 647895.95	0.99	oth unf
 647905.47	1.11	oth non
 647907.83	0.25	oth foc
 647908.24	1.62	oth non
 647913.40	3.04	whp non
 647919.82	1.84	whp non
 647923.44	2.55	whp non
 647928.58	2.98	whp non
 647934.69	3.12	whp non
 647941.10	2.58	whp non
 647946.71	3.33	whp non
 647976.63	0.98	grn foc
 647980.73	2.49	grn foc
 647993.78	0.40	oth non
 648001.53	0.52	oth foc
 648239.97	2.54	whp non
 648244.74	2.74	whp non
 648250.07	3.20	whp non
 648256.10	3.36	whp non
 648262.62	2.58	whp non
 648268.19	2.72	whp non
 648344.54	2.42	grn foc
 648349.63	2.41	grn foc
 648354.34	2.54	grn foc
 648368.94	0.84	grn foc
 648376.85	2.02	grn foc
 651148.19	0.78	whp ? non
 651198.09	1.01	grn non
 651221.67	0.23	oth unf
 651226.54	1.57	whp foc
 651231.67	1.84	whp foc
 651236.64	2.21	whp foc
 651242.45	2.28	whp foc
 651247.70	2.59	whp foc
 651253.60	2.73	whp foc
 651259.75	2.99	whp foc
 651266.89	2.71	whp ? foc
 651660.32	0.46	oth non
 651661.77	0.65	oth non
 651663.35	0.52	oth non
 651664.95	0.76	oth non
 651669.35	1.85	gig ? non
 651671.87	1.29	gig ? non
 651676.67	1.71	gig ? non
 651684.24	0.93	grn ? non
 651871.11	0.79	oth non
 651873.69	0.24	oth non
 651875.43	0.61	oth non
 651876.73	0.79	oth non
 651901.09	0.57	oth non
 651906.11	0.24	oth non
 651954.56	0.73	oth non
 651956.06	1.49	gig ? non
 651989.50	4.49	gig ? non
 652026.90	0.28	oth non
 652028.77	1.01	oth non
 652055.44	3.69	str ? cub non
 652060.46	1.63	gig ? non
 652089.83	1.05	grn non
 652094.87	0.59	grn non
 652098.80	0.59	grn non
 652109.46	0.95	grn non
 652116.77	1.21	grn non
 652124.11	1.30	grn non
 652128.75	1.29	grn non
 652133.57	1.34	grn non
 652139.77	1.03	grn non
 652145.22	1.23	grn non
 652151.71	1.10	grn non
 652239.25	0.81	grn non
 652257.87	1.66	grn non
 652265.63	0.99	grn non
 652327.17	1.34	grn non
 652373.77	0.55	grn non
 652543.80	1.25	grn non
 652562.37	0.95	grn non
 652573.96	1.34	grn non
 652675.27	1.12	grn foc
 652680.79	1.74	grn foc
 652681.92	1.47	gig ? non
 652694.79	0.59	oth non
 652695.55	1.18	grn foc
 652704.73	1.09	grn non
 652705.81	0.27	oth non
 652707.85	0.72	oth non
 652709.76	0.22	oth non
 652710.45	0.44	oth non
 652712.29	3.14	oth non
 652717.73	0.30	oth non
 652724.51	0.25	oth non
 652732.22	1.48	oth non
 652734.56	1.47	oth non
 652738.53	1.88	gig ? non
 652741.75	0.29	oth non
 652747.19	0.70	oth non
 652748.70	0.44	oth non
 652751.24	0.22	oth non
 652759.56	0.35	oth non
 652774.57	0.90	oth non
 652789.59	0.82	oth non
 652813.24	1.52	oth non
 652818.01	2.94	oth non
 652820.90	0.69	oth non
 652822.38	2.07	oth non
 652832.47	0.34	oth non
 652833.79	0.26	oth non
 652835.75	0.22	oth non
 652839.98	1.40	oth non
 652848.48	0.23	oth non
 652849.17	1.55	oth non
 652851.29	0.55	oth non
 652852.54	1.13	oth non
 652858.22	1.09	oth non
 652862.31	0.73	oth non
 652866.13	1.74	oth non
 652867.95	2.24	oth non
 652870.19	4.25	oth non
 652884.57	0.88	oth non
 652885.94	3.90	str ? cub non
 652895.46	2.06	gig ? non
 652897.53	16.96	skp non focal but not sure if maybe its birds ?
 653476.89	0.72	grn foc
 653479.68	1.03	grn foc
 653482.65	0.57	grn foc
 653485.13	1.00	grn foc
 653485.53	0.56	oth non
 653486.30	0.50	oth non
 654147.11	0.24	oth non
 655190.96	0.27	oth non
 657149.03	0.31	oth non
 659073.87	3.09	syn
 659119.66	0.30	oth non
 660428.48	0.66	oth non
 662395.03	0.00	eoa
